"","gene","Granulocytes 1","Granulocytes 2","Granulocytes 3","Granulocytes 4","Granulocytes 5","Granulocytes 6","Granulocytes 7","C7","Granulocytes 8"
"1","Mrpl15",0.0222652440418684,0.135077516305358,0.548688945641605,0.0839396935953636,0.20322859726951,0.325782626077798,0.138398065394495,0.32966127185786,0.0979752756382399
"2","Lypla1",0.076910912173726,0.131165835023045,0.279634712240748,0.104470668369067,0.115955357294338,0.186103392539267,0.237485805141583,0.252453279315227,0.203149665744222
"3","Tcea1",0.165282598051727,0.333587252165627,0.73427766499155,0.217238046679385,0.289922305534403,0.477432173498365,0.259409223882927,0.509792528053766,0.237556681946333
"4","Atp6v1h",0.127125443648376,0.165376390628659,0.167532654555359,0.216291617178777,0.0860163920844732,0.356123107381499,0.100704847216566,0.241714790993576,0.444186989126604
"5","Rb1cc1",0.584328154773855,0.545620076196373,0.615991802199492,0.430715817830369,0.49486639215918,0.527641509746807,0.713533093415812,0.456942494490979,0.534845295315468
"6","4732440D04Rik",0.127681067870407,0.134264936508092,0.201922436086424,0.137340323750354,0.166346448045094,0.205162579660641,0.139698646835996,0.0420077522324502,0.0637224864550072
"7","Pcmtd1",0.281878155919774,0.4901878901604,0.552590374983591,0.419360475912313,0.488233758412607,0.531520768469718,0.461463769650616,0.270338489887902,0.341322485786523
"8","Gm26901",0.0065480494741366,0,0.0142476921697646,0.00820176555412694,0,0.0240309533444682,0,0,0
"9","Rrs1",0,0.0181363733751302,0.0913901724123074,0.0224196384659147,0.0284637176884739,0.0307049055368952,0.0240302788775487,0.0331273034140946,0
"10","Adhfe1",0.00169250755655671,0.00342876601473147,0.0121926388576271,0.00307172152743477,0.0136398729808224,0.0116851060814378,0,0,0.0155723939456705
"11","Vcpip1",0.15818412877637,0.156239957683327,0.283207899949691,0.0803055864803186,0.142359122173397,0.272022403626914,0.320116268945428,0.150719086390569,0.148758132689381
"12","Sgk3",0.137230095325625,0.0836177953479557,0.229120490904495,0.0859510722583318,0.118850631158135,0.0783071249515964,0.331853290047912,0.27134968514707,0.0416008656817167
"13","Mcmdc2",0.0117708727262502,0,0.0240405478193483,0.00208117919766869,0.00211957262306407,0.0336845588527241,0.0557563017617781,0,0.0179103918993806
"14","Snhg6",0.0202646884761248,0.118310331247133,0.367028011765972,0.0985787032054498,0.0860087445068195,0.0935887567654977,0.0335457696449457,0.421251570272863,0.137851308813051
"15","Ppp1r42",0.0040176666620436,0.00358023464894805,0.0199082863532615,0,0,0,0.00868275063040989,0,0
"16","Cops5",0.0565542508582352,0.153938214726136,0.422263827028497,0.093889535249719,0.201451768207801,0.303721687125475,0.116019904590346,0.316280599874241,0.115624456327098
"17","Cspp1",0.209885739302969,0.400439883964971,0.676726138613947,0.224280784835703,0.29615514926308,0.465732891182645,0.487114007574462,0.1922048354264,0.361470388524742
"18","Arfgef1",0.355144088253466,0.493780146377521,0.59623699814839,0.402831047900031,0.410642166779357,0.647660662029342,0.488179474801987,0.645976172871483,0.520060650111693
"19","Cpa6",0.00387855053161624,0.0106689278053779,0.00965198289873364,0.00208117919766869,0.00685413444801218,0.0103178794009204,0.01075527590859,0,0.0207630691938074
"20","Ncoa2",0.243369179901199,0.273873843471005,0.22217675443535,0.197074414305935,0.153244425625451,0.231002159103298,0.272832343327518,0.186453232927175,0.302159917443493
"21","Tram1",0.127816394267054,0.215675165138637,0.507077994841009,0.152089578244251,0.309382050401003,0.353708196054444,0.304842217128209,0.715010645146266,0.0956506727203027
"22","Lactb2",0.0979107063247491,0.214927669133233,0.233997229574651,0.150090157018828,0.222653789247847,0.216247069032105,0.104141703826017,0.22541019903883,0.271330402690328
"23","Terf1",0.0343812228802206,0.0270548344655788,0.056961861623191,0.0204333873279854,0.018475078156423,0.0346708648233565,0.0812464042935228,0.150439029443425,0.044039525525257
"24","Rpl7",1.11098451881981,1.27719349025484,2.08044144733182,1.01160858469729,1.18659244593619,1.60824456466124,1.27179231955433,2.49124637676511,1.08110133224795
"25","Rdh10",0.00939011481538254,0.0027077862101435,0.0287451597685706,0,0.0071368167841446,0.0179925876607488,0.05162476575889,0,0.0775657579455258
"26","Stau2",0,0,0,0.00223606688669457,0,0,0,0.0222475121776287,0
