"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Saa3",9.73320198582333e-13,-3.69299574467578,0.151,0.307,1.6307979927247e-08,"Granulocytes 1","Saa3"
"Nfkbiz",9.97865843855575e-13,-1.09043900687091,0.216,0.378,1.67192422138002e-08,"Granulocytes 1","Nfkbiz"
"Rpl41",1.01609185744892e-12,0.447274522121938,0.978,0.921,1.70246190715567e-08,"Granulocytes 1","Rpl41"
"Rgs3",1.08564630823973e-12,0.612608549782347,0.167,0.03,1.81900038945567e-08,"Granulocytes 1","Rgs3"
"Vps26a",1.08623932714274e-12,-0.571839520948999,0.094,0.277,1.81999399262765e-08,"Granulocytes 1","Vps26a"
"Mcemp1",1.26061993137845e-12,0.58449472315335,0.616,0.38,2.1121686950246e-08,"Granulocytes 1","Mcemp1"
"Gm13571",1.29242197595597e-12,-0.682332219393198,0,0.075,2.16545302071423e-08,"Granulocytes 1","Gm13571"
"Gng10",1.46259632495514e-12,0.773522882140995,0.347,0.152,2.45058014246234e-08,"Granulocytes 1","Gng10"
"Cmtm6",1.47468737082711e-12,0.632773805012355,0.267,0.088,2.47083868982082e-08,"Granulocytes 1","Cmtm6"
"Smap2",1.59516464002924e-12,0.656324020229713,0.276,0.094,2.67269835436899e-08,"Granulocytes 1","Smap2"
"Capn1",1.83793995541411e-12,0.560491049532979,0.259,0.084,3.07946839529634e-08,"Granulocytes 1","Capn1"
"Ptpn6",1.87282773347531e-12,0.726529506691109,0.522,0.318,3.13792286743789e-08,"Granulocytes 1","Ptpn6"
"Jaml",1.91619599234755e-12,0.787102429316068,0.18,0.039,3.21058638517833e-08,"Granulocytes 1","Jaml"
"Trim30c",2.14470965917923e-12,-0.868873999890631,0.002,0.086,3.5934610339548e-08,"Granulocytes 1","Trim30c"
"Ifi47",2.16442698653715e-12,-1.13288328761261,0.045,0.163,3.626497415943e-08,"Granulocytes 1","Ifi47"
"Chil1",2.23482812531176e-12,-1.03654098526685,0.349,0.464,3.74445452395985e-08,"Granulocytes 1","Chil1"
"Tmem140",2.28795640150873e-12,-0.915758063823052,0.102,0.275,3.83347095072787e-08,"Granulocytes 1","Tmem140"
"Stk24",2.32469752854486e-12,0.669310701236665,0.273,0.097,3.89503070907692e-08,"Granulocytes 1","Stk24"
"Psap",2.32734912865941e-12,-0.688043818727129,0.614,0.736,3.89947346506884e-08,"Granulocytes 1","Psap"
"Adgre5",2.48708128416669e-12,0.886841990304048,0.451,0.247,4.16710469162129e-08,"Granulocytes 1","Adgre5"
"Amdhd2",2.49205375057535e-12,-0.757975868096995,0.204,0.399,4.175436059089e-08,"Granulocytes 1","Amdhd2"
"Wipf1",2.64373021408755e-12,0.600042728528183,0.394,0.182,4.42956997370369e-08,"Granulocytes 1","Wipf1"
"Atg3",2.6697454311642e-12,0.676914573773662,0.506,0.283,4.47315846991561e-08,"Granulocytes 1","Atg3"
