"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Cdip1.1",1.10375009432833e-08,-0.234740019183608,0.04,0.131,0.000184933328304712,"Microglia 2","Cdip1"
"Gm41764.1",1.10377872295251e-08,-0.187430961158321,0.013,0.079,0.000184938125030692,"Microglia 2","Gm41764"
"Zfp207.1",1.14578677236974e-08,-0.280802303909266,0.188,0.329,0.00019197657371055,"Microglia 2","Zfp207"
"Tbce.1",1.16585235395182e-08,-0.182407132468329,0.034,0.115,0.000195338561904627,"Microglia 2","Tbce"
"Fam110a.1",1.16766588560938e-08,-0.287690184941999,0.082,0.195,0.000195642419133851,"Microglia 2","Fam110a"
"Ubald1.1",1.17569293156922e-08,-0.228453732046009,0.061,0.161,0.000196987350684423,"Microglia 2","Ubald1"
"Gm26759",1.18478429053877e-08,-0.173609341961556,0.008,0.066,0.000198510607879772,"Microglia 2","Gm26759"
"Stk4.1",1.19067727755797e-08,-0.338670604091926,0.125,0.249,0.000199497977854837,"Microglia 2","Stk4"
"Ankrd49.1",1.19726898919143e-08,-0.294438218861183,0.088,0.201,0.000200602419139025,"Microglia 2","Ankrd49"
"Trim59.1",1.1991401525541e-08,0.16434403255022,0.063,0.009,0.000200915932560439,"Microglia 2","Trim59"
"Ggnbp1",1.22167916108838e-08,-0.0853988554085653,0.008,0.05,0.000204692343440358,"Microglia 2","Ggnbp1"
"Tmco6",1.23167674049639e-08,-0.203615695812969,0.013,0.08,0.00020636743787017,"Microglia 2","Tmco6"
"Rbm28.1",1.23562888244676e-08,-0.246605375544761,0.094,0.208,0.000207029619253955,"Microglia 2","Rbm28"
"Rnf169.1",1.252704687451e-08,-0.251822329648901,0.04,0.129,0.000209890670382415,"Microglia 2","Rnf169"
"Vav3.1",1.26001006644271e-08,0.0706588063980031,0.029,0,0.000211114686632476,"Microglia 2","Vav3"
"Nipa2.1",1.26908173055275e-08,-0.327740364992643,0.31,0.467,0.000212634643954114,"Microglia 2","Nipa2"
"Rexo4.1",1.2803644358741e-08,-0.280645429248738,0.065,0.169,0.000214525061230706,"Microglia 2","Rexo4"
"Thada.1",1.29929203879218e-08,-0.161610437014439,0.019,0.09,0.00021769638109963,"Microglia 2","Thada"
"Dennd1b.1",1.30776544736739e-08,-0.242722515019457,0.044,0.137,0.000219116100706406,"Microglia 2","Dennd1b"
"Ctsl.1",1.31955573676588e-08,0.0997205086842419,0.952,0.996,0.000221091563695122,"Microglia 2","Ctsl"
"Gcat.1",1.32025989965762e-08,0.12673035269977,0.048,0.004,0.000221209546187634,"Microglia 2","Gcat"
