"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Zcchc4",0.0100150409269763,0.0914198943605906,0.035,0.008,1
"Arhgap27os1",0.00371463035171092,0.0913301878356064,0.034,0.008,1
"Tnfrsf9",0.164271064607861,0.0912779071561755,0.023,0.008,1
"Vps37b",0.00692917586640938,0.0912733420357182,0.155,0.093,1
"Dhx34",0.0582446521580533,0.0912638866774175,0.028,0.008,1
"Exoc2",0.254541592761916,0.0911459541779945,0.046,0.026,1
"Tmem41b",0.04502457642253,0.0911236998563982,0.106,0.064,1
"Gm4673",0.162688289230935,0.0910658335299063,0.056,0.031,1
"Nol11",0.0160393770827855,0.0910149672562341,0.041,0.013,1
"Ltv1",0.026474406763616,0.0910145718540863,0.032,0.008,1
"Itfg1",0.524399297079899,0.0909935464964786,0.093,0.075,1
"Dnaja3",0.00969461403070415,0.0909710167199316,0.03,0.005,1
"Dr1",0.317562773006313,0.0908888630711277,0.074,0.054,1
"Rfc5",0.00823471546015218,0.0907778385145204,0.025,0.003,1
"Armt1",0.270161889467619,0.0907457302087019,0.058,0.036,1
"Tbrg4",0.285235170564687,0.0907214815343284,0.018,0.01,1
"Rhbdf2",0.150722201979046,0.0906880425103463,0.115,0.08,1
"Gm39459",0.00110879628577461,0.0906144718079619,0.019,0,1
"Pdrg1",0.00351609906432111,0.0906062879025514,0.044,0.013,1
"Xrcc5",0.000361587688601362,0.0905230740291554,0.023,0,1
"Dcun1d5",0.0149413981851711,0.0905196522792634,0.129,0.082,1
"Emc3",0.11657969354975,0.090333882082724,0.132,0.093,1
"Coa5",0.117358344676146,0.090151081936386,0.138,0.095,1
"Wrap73",0.0331661746006742,0.0900007327259636,0.049,0.021,1
"Plek",0.932560591084431,0.0899636893390228,0.637,0.648,1
"Ccdc25",0.153327594110343,0.089956769452389,0.072,0.064,1
"Cse1l",0.0676788136033416,0.0898423632712703,0.032,0.01,1
"Trpm4",0.201191922886332,0.0897768916314317,0.018,0.008,1
"Tmem126b",0.0487442468699643,0.0897439405235353,0.048,0.021,1
"Ptp4a3",0.0399546503526476,0.089693803483405,0.028,0.018,1
"Dtnb",0.12142086976813,0.089627486280976,0.026,0.01,1
"Nsun3",0.169477135698052,0.0896120416318593,0.065,0.039,1
"Ndufa5",0.469775003762513,0.089549431061616,0.062,0.044,1
"Dand5",0.0184717025892814,0.0894844009929215,0.028,0.005,1
"Nup50",0.303327154833037,0.089466656982739,0.079,0.054,1
"Gpn1",0.0567267534356786,0.0894509921806253,0.037,0.013,1
"Gm1647",0.0162763692587398,0.0892609173298909,0.023,0.003,1
"Mtx2",0.092958340457114,0.0892333592077098,0.042,0.018,1
"Stab1",0.0223034191801573,0.0891641883974475,0.065,0.033,1
"Oip5os1",0.369102559914631,0.0891548865592489,0.205,0.203,1
"Ecm1",0.460448938140454,0.0891140004029928,0.044,0.031,1
"Sipa1l1",0.0666027466105331,0.089089107224874,0.132,0.157,1
"Ddx19a",0.123859302696331,0.0890531591949822,0.041,0.018,1
"Ccng1",0.38633702220463,0.0890349372176791,0.115,0.087,1
"Dus1l",0.021549653756208,0.0890052121511509,0.048,0.018,1
"Rev1",0.103794950181918,0.0889745401193087,0.065,0.036,1
"Chtop",0.112864594385464,0.0888155367108596,0.148,0.111,1
