"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Gm33103",0.478496691796051,-0.00756390847656834,0.001,0.003,1
"Hsph1",0.0504589245457841,-0.00756624592315211,0.057,0.037,1
"Gm26982",0.6342102103269,-0.00756914164608069,0.009,0.014,1
"Krtcap3",0.747353343747773,-0.00757842431660405,0.01,0.011,1
"4921514A10Rik",0.048722592501936,-0.00757876122876997,0,0.004,1
"Lrrc45",0.970865934686794,-0.00758041565443267,0.034,0.036,1
"Gm50340",0.095489202628235,-0.00758304957267338,0.017,0.027,1
"Carmil1",0.471161868240639,-0.0075851409642094,0.048,0.042,1
"Gm13625",0.821845372185729,-0.00760781308054186,0.005,0.007,1
"Slc35g2",0.726252443686086,-0.0076087018752868,0.005,0.005,1
"Slc39a8",0.963029356738683,-0.00760917193777227,0.084,0.088,1
"Phldb1",0.625793231215454,-0.00761324262998039,0.009,0.014,1
"Cryzl2",0.23257873854578,-0.00761841762134186,0.098,0.09,1
"Rexo5",0.354534190260838,-0.00764869347716741,0.016,0.015,1
"Bace1",0.965539042664891,-0.00765394571206594,0.037,0.04,1
"Gm14455",0.119927207576923,-0.00766189867332008,0,0.003,1
"CAAA01147332.1",0.943918961076557,-0.0076645168466123,0.029,0.031,1
"Pinx1",0.772921061219223,-0.0076719211482264,0.063,0.062,1
"Gm12905",0.872551313023737,-0.00767394950855782,0.027,0.027,1
"Gm49544",0.119927207576872,-0.00768307774132333,0,0.003,1
"Tmem98",0.824869610645319,-0.00770687699702157,0.003,0.005,1
"C2",0.681618061514116,-0.00770970335905579,0.002,0.004,1
"Lmln",0.955844219029334,-0.00771139299688084,0.045,0.047,1
"Dbr1",0.0913421029822217,-0.00771651255139433,0.038,0.03,1
"Gpd1",0.577393211541321,-0.00771859990375678,0.022,0.018,1
"Gm31814",0.83756140805883,-0.00772039336120382,0.005,0.007,1
"Ggn",0.598974848459358,-0.00772136330710826,0.002,0.003,1
"Stra8",0.478496691796091,-0.00772784283591664,0.001,0.003,1
"Taf13",0.923590052804386,-0.00775008558222701,0.11,0.111,1
"Nxf2",0.313453171243425,-0.00775223823333234,0,0.001,1
"Hspb6",0.847393204388096,-0.00775511006439986,0.007,0.01,1
"Evi2b",0.539313457052914,-0.0077730602485523,0.002,0.005,1
"Naa60",0.967743075895836,-0.00780126254943747,0.158,0.163,1
"Rdh12",0.82819345240706,-0.00781673323356864,0.006,0.008,1
"C1qtnf1",0.11992720757689,-0.00781711882772839,0,0.003,1
"A730061H03Rik",0.523656211203298,-0.00782198139942136,0.028,0.034,1
"Gm12185",0.750372085508011,-0.00783131657048937,0.005,0.007,1
"Sirt4",0.953823738692483,-0.00784244600580355,0.027,0.027,1
"Gm45447",0.313453171243581,-0.00784467983985109,0,0.001,1
"Itgb1bp2",0.119927207576879,-0.00784707141448476,0,0.003,1
