"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Anxa2",9.06935569206613e-19,0.100215505338511,0.669,0.877,1.51957054620568e-14
"Camsap2",0.189911323695226,0.100188077251,0.074,0.064,1
"Mta2",0.00137622699289804,0.100156530359821,0.125,0.159,1
"Maea",0.0806225577776702,0.100109733883198,0.18,0.215,1
"Fibp",0.0118312213212214,0.100034637496847,0.287,0.34,1
"Ubl4a",0.611412406648956,0.100029845820178,0.243,0.219,1
"Tfg",0.00272690111602091,0.100008211296462,0.188,0.261,1
"Ddhd2",0.123246286654423,0.0999846384256043,0.062,0.075,1
"Txnl4b",0.477602201404997,0.0999622990937992,0.029,0.022,1
"Ap1m1",0.000134435979193509,0.0999526294334053,0.092,0.156,1
"Agbl5",0.374327735431524,0.09977467478994,0.011,0.008,1
"Hmg20b",0.00205918099438976,0.0997716733669981,0.235,0.319,1
"Rabep1",0.542196677352635,0.0996202186542244,0.151,0.151,1
"Tmx3",0.00567987958806528,0.0995585697975205,0.206,0.248,1
"Gm36913",0.000514296085027527,0.0995130867245283,0.04,0.005,1
"Hdac2",0.0719931396669685,0.0994464824931685,0.088,0.112,1
"Aldh1l2",0.00112109033196157,0.0994341119033808,0.033,0.003,1
"Zranb3",0.0406604615977271,0.0994168101476395,0.022,0.005,1
"1700012B09Rik",0.00011549029878527,0.099320410439755,0.059,0.009,1
"Zfp955b",0.000692183704256695,0.0992701429930094,0.015,0.022,1
"Supt6",0.26298753193174,0.0992570459508678,0.173,0.201,1
"Ddb2",0.262459053466635,0.0991882191721854,0.026,0.013,1
"Igsf8",0.013877567018233,0.0991748410932759,0.169,0.212,1
"Rangap1",0.000278562140180845,0.0990663698536078,0.07,0.105,1
"Snx9",0.0529570832309381,0.0989539002016925,0.173,0.197,1
"Xylt2",0.0284905326698512,0.0989305565767093,0.074,0.033,1
"Ppp4r3a",0.183084719797682,0.0989251187444725,0.18,0.201,1
"Mrps10",0.0371721670851189,0.0989228658206203,0.096,0.112,1
"Wipi2",0.611359994503594,0.0989182124909261,0.121,0.123,1
"Eif4h",0.00201232979073773,0.0988552227050732,0.419,0.517,1
"Cdc42se2",0.0143192931715995,0.098748435677594,0.246,0.266,1
"Ubr7",0.0111199163096583,0.0987248235172361,0.055,0.08,1
"Zfp383",0.158516626203498,0.0986324162243235,0.015,0.005,1
"Tbc1d8b",0.064081900826114,0.0985203747079501,0.055,0.028,1
"Gpr84",0.594916213674475,0.0984916267318007,0.191,0.164,1
"Psmd8",5.25264158955129e-16,0.0984909550098372,0.618,0.822,8.80080098329318e-12
"Tmem220",0.330193687319035,0.0984803923190906,0.026,0.016,1
"Gm13710",0.0122178794631266,0.0984534697542091,0.011,0,1
"Sh3bp2",0.00771591303622396,0.0984375322539754,0.25,0.31,1
"Ipo8",2.74652983323158e-06,0.0984278059953465,0.051,0.079,0.0460181073557951
"Timm21",0.0185749072429234,0.0983962464103801,0.051,0.074,1
"Arl4c",1.03337177900587e-05,0.0983818660051743,0.493,0.618,0.173141441572433
"Lrpprc",0.217352366390225,0.0983362396280313,0.062,0.071,1
"Card6",0.0819427122649825,0.0982977814078465,0.044,0.058,1
"Tmem14a",0.00328991626320833,0.098206837073853,0.015,0,1
"Arrb1",0.0622556559314672,0.0981748376619904,0.143,0.09,1
"Ppfibp1",0.00028610131307809,0.0981286913410645,0.085,0.024,1
"Fabp3",0.0594960862511819,0.0980017480672357,0.04,0.014,1
"Arl6",0.190119375634844,0.0978279567970153,0.015,0.005,1
"Atp6ap2",1.48309993449495e-05,0.0977177061080262,0.346,0.458,0.248493394024629
"Vamp7",0.0667157087446087,0.0975959360436608,0.14,0.148,1
"Slc45a4",0.182681672315213,0.0975770604371734,0.099,0.112,1
"Eif2b4",4.07318422418089e-05,0.0974789629392548,0.074,0.126,0.682462016761509
"2310022B05Rik",0.325878030455188,0.0974518225196774,0.103,0.075,1
"Timm8b",3.22564824510982e-09,0.09741064343857,0.493,0.649,5.40457363468151e-05
"Map3k8",0.273469713801195,0.0974006668469951,0.162,0.175,1
"Dhx33",0.184356019385296,0.0973718990363115,0.029,0.02,1
"Urb2",0.320091682316982,0.0973375847453481,0.018,0.017,1
"Gm4258",0.00714518030658007,0.0973327918055826,0.011,0.014,1
"Ugp2",0.717830685583526,0.0973240151723821,0.364,0.362,1
"Fam199x",0.0872099120702436,0.0973057847489649,0.033,0.013,1
"Tbc1d16",0.11981838673015,0.0972698103136995,0.011,0.003,1
"Gpr180",0.100568451622902,0.0972679012639807,0.04,0.049,1
"Zfp553",0.297284725897028,0.0972668721857651,0.022,0.022,1
"Ssbp3",0.0187222153295648,0.0972416723586412,0.051,0.063,1
"Arhgap29",0.00328991626320847,0.0972303127487248,0.015,0,1
"Atl2",0.293305791393756,0.0972221862293537,0.074,0.057,1
"Def6",0.0568390411602967,0.0972200918536485,0.11,0.104,1
"Acbd6",0.104664796381925,0.0972191086666948,0.243,0.23,1
"Pusl1",0.110084530821244,0.0971410699198336,0.037,0.02,1
"Vdac3",0.00138609834701367,0.0970740264439165,0.463,0.557,1
"Hmg20a",0.171685361947717,0.0970254370405226,0.077,0.075,1
"4632427E13Rik",0.0794637396247004,0.0969740703529519,0.096,0.113,1
"Rapgef2",0.328485597585208,0.0969605654377867,0.143,0.132,1
"Sec24a",0.123399472214052,0.0969482446847263,0.062,0.064,1
"Ptpn9",0.287260685277371,0.0969426850175143,0.077,0.074,1
"Csad",0.00614994010279167,0.0968916642933014,0.037,0.042,1
"Yaf2",0.395788716632295,0.096867957748578,0.114,0.085,1
"Arvcf",0.0731683639317903,0.0968627575835835,0.011,0.003,1
"Stard5",0.45236296471886,0.0968551783757161,0.107,0.107,1
"Mpnd",0.0571296167660911,0.0968132420672293,0.103,0.129,1
"Acot2",6.92585856033869e-07,0.0966577747501896,0.007,0.013,0.0116042760178475
"Mapre1",0.00112561783573893,0.0966434418778452,0.368,0.451,1
"Ccar1",0.0034036727573662,0.0966255877048557,0.235,0.305,1
"Clcn5",0.323615229479316,0.0966222296566273,0.074,0.05,1
"Ccdc112",0.032764583013789,0.096605079168478,0.018,0.009,1
"Dnajb2",0.0305736469579605,0.0965959775647461,0.07,0.03,1
"Csf2rb2",0.51837762342522,0.0965245985839326,0.397,0.399,1
"Rbl2",0.175348548036319,0.0965024589857299,0.085,0.096,1
"Usp21",0.157877804894632,0.0964424179662531,0.048,0.046,1
"Col15a1",0.372862170920316,0.096390028135608,0.011,0.008,1
"Retsat",0.161996209977305,0.09638716540508,0.018,0.006,1
"Actr5",0.296528866845963,0.0963566089201684,0.037,0.046,1
"Sept8",0.165648249852317,0.0963553888069295,0.059,0.044,1
"1110032A03Rik",0.507766770193212,0.0963385884096728,0.074,0.061,1
"Rnf8",0.694323744152996,0.0962875986046652,0.092,0.094,1
"Manea",0.041288064756001,0.0962847614875673,0.051,0.02,1
"Cmtr1",0.0545502246460782,0.0962508579298269,0.162,0.217,1
"Gm49774",0.0203466129321304,0.0962426850889976,0.04,0.016,1
"Fgd6",0.217379935714953,0.0962181909876337,0.07,0.042,1
"Il3ra",0.194063633507649,0.0960397532076695,0.18,0.186,1
"Gpr160",0.289899348700456,0.0960280698203948,0.077,0.091,1
"Ggnbp2",0.00315081317714963,0.0959952639773441,0.254,0.318,1
"Ankhd1",0.00459275184426589,0.0958257213845852,0.125,0.176,1
"Cat",0.0798808286594583,0.0957635551202557,0.132,0.121,1
"AU022793",0.0888253673150586,0.0956474875428826,0.018,0.005,1
"Usp54",0.263503622908776,0.0955865395207378,0.011,0.003,1
"Exoc3l4",0.232182052160226,0.095584465002504,0.026,0.022,1
"Gm45184",0.158647791402095,0.09558095178692,0.011,0.003,1
"Aig1",0.0077322699723195,0.0955789386564478,0.173,0.226,1
"Tpbgl",0.0122178794631261,0.0955088158348167,0.011,0,1
"Tnip3",0.295300133771764,0.0955006110017967,0.048,0.039,1
"Pccb",0.000661226316740594,0.0954984292784602,0.018,0.017,1
"Gemin6",0.0515683257566962,0.0954120787982733,0.026,0.022,1
"Kmt2c",0.000564932259682565,0.0953576756857234,0.136,0.201,1
"Nelfe",0.0212848270695648,0.0953506773006891,0.188,0.223,1
"Mroh1",0.414410063606966,0.0953212631209299,0.132,0.113,1
"Tatdn1",0.12912842772757,0.0953077665239866,0.103,0.097,1
"Fen1",0.222635316182471,0.0952682640176945,0.055,0.052,1
"Acad8",0.104161953572743,0.0952478090923485,0.044,0.049,1
"Hdac7",0.193400724505865,0.0951549431664424,0.051,0.038,1
"Tamm41",0.202110460681379,0.0951526064221209,0.029,0.031,1
"Zdhhc6",0.0163228321554302,0.0951007510827451,0.062,0.099,1
"Nme7",0.0985444855689629,0.0950771972758727,0.026,0.022,1
"Rnf139",0.180007288125361,0.0949683823501315,0.107,0.126,1
"Rusc2",0.00370865943710769,0.094965561739707,0.085,0.031,1
"Pdcd10",4.99736874743778e-05,0.0949586825497168,0.485,0.615,0.837309133633199
"Smad4",0.297671289314984,0.0948657606233563,0.228,0.23,1
"Nmt2",0.456567056401838,0.0948343674857849,0.07,0.071,1
"Plekhm2",0.658924378999291,0.0948216842881869,0.176,0.164,1
"Aldh9a1",0.865724223836069,0.0948214819073876,0.129,0.121,1
"Socs4",0.430812398494787,0.0946955696567295,0.121,0.093,1
"Bcl2l2",0.101820074378773,0.094669926465377,0.07,0.036,1
"Tcf3",0.0369328145810841,0.0946629237334974,0.059,0.082,1
"Zfp560",0.276999253491253,0.0946271790329373,0.07,0.058,1
"Ccser2",0.391061292052785,0.0945951497605643,0.062,0.052,1
"Cblb",0.556524843484228,0.0945469379239943,0.088,0.068,1
"Sacm1l",0.160653400476839,0.0944954301903735,0.132,0.108,1
"Zfp622",0.0140250396883563,0.0944266910004034,0.162,0.215,1
"Zfp703",0.0354966111200945,0.0944245671726457,0.147,0.168,1
"Tmco1",5.00157769997299e-12,0.0943066671991941,0.324,0.52,8.38014343630475e-08
"Sirt2",0.027575794255081,0.0942746293911583,0.338,0.388,1
"Btbd3",0.0557387565427165,0.0942573199163566,0.018,0.009,1
"Cnep1r1",0.141414448086276,0.0942238252818831,0.103,0.11,1
"Limd1",0.00109981694410908,0.0942198780565394,0.279,0.324,1
"Sestd1",0.2431475637541,0.0941834234745889,0.165,0.157,1
