"","gene","Mono/Mac 1","Microglia 1","Microglia 2","Granulocytes 1","Microglia 3","Granulocytes 2","Mono/Mac/DC","ILC/NKT/T/Tgd","Mono/Mac 2","ILC/NK","B Cells","Granulocytes 3","Monocytes","Basophils"
"1","Mrpl15",0.410862862673381,0.406221886296214,0.560596796301534,0.399684434532931,0.420936091576501,0.309778212196757,0.519068742794941,0.595649166332142,0.534317125370041,0.260293821881295,0.585001218984926,0.304077706805881,0.450478804267365,0.338626620453637
"2","Lypla1",0.302326923414324,0.256935066564739,0.188332669144729,0.33735256943193,0.20869375516163,0.212920540590013,0.234967380509344,0.236430767791245,0.536490070334895,0.247421068793187,0.143163931855577,0.286887702166714,0.317863444754829,0
"3","Tcea1",0.596507454872658,0.627536867649095,0.616356437545871,0.565860394882192,0.539530845794762,0.5541116522462,0.722327160491072,0.736748624109612,0.712839704905556,0.655157648769164,0.784189830408607,0.273693766769903,0.537733480490188,0.867691691530449
"4","Atp6v1h",0.302194571448399,0.350898510883764,0.263598689471307,0.223920068766099,0.259980155189314,0.280097015773451,0.183593007015284,0.277684193995963,0.306376851794854,0.197982548792786,0.188049769504904,0.138093021799268,0.293514956192529,0.172866775438587
"5","Rb1cc1",0.37917131828041,0.797664967319488,0.209880137519655,0.850546784613043,0.544410879803261,0.492934314895604,0.267062511814774,0.463927813910329,0.433054367914027,0.613981947191927,0.380004380689303,0.385518623663486,0.672311582844782,0.677916440394228
"6","4732440D04Rik",0.0511837268107763,0.163046540219783,0.0116232106861374,0.236565161132799,0.131973237173059,0.199870526024254,0.0545123012663409,0.188652867027919,0.0572114994956515,0.265464633839943,0.348609018519309,0.0332338195725649,0,0
"7","St18",0.00132095093316488,0,0,0,0,0,0.0029248339072468,0,0,0,0,0,0,0
"8","Pcmtd1",0.214082654323084,0.621158966027933,0.123426122329406,0.491499686283658,0.448453704398573,0.49234184122887,0.2561989429788,0.541493434809414,0.246742677532719,0.674014363728914,0.570517077865844,0.338822801906945,0.391793578390875,0.345102150849709
"9","Gm26901",0,0.00439391257893976,0.007978695908485,0.00390871318747171,0.00321614937189595,0,0.00810325969224389,0,0,0.0649411508346371,0.0319830773300793,0,0,0
"10","Rrs1",0.0783329405738738,0.101699261163681,0.0927061790324607,0.0299235975882801,0.119658073572075,0.0916278941880701,0.106011868444259,0.201482672592018,0.0712759072649387,0.217943245671118,0.235484935913026,0.0389873410305866,0,0
"11","Adhfe1",0,0.010284298568334,0.00862457555601814,0,0.00664457858233643,0.0139486378944374,0,0,0,0,0,0,0,0
"12","2610203C22Rik",0.00304504948550416,0.348436433145005,0.176586485970817,0.00359666042525771,0.261671740344412,0.0059690551320182,0.00272461172570173,0.0102914600794044,0.0742435023629998,0,0,0,0,0
"13","Vxn",0,0.00791794949250968,0.00397402783911895,0,0.00374881461171501,0,0,0,0,0,0,0,0,0
"14","Mybl1",0.001699936236793,0.00268672918200628,0.0200091064907565,0,0,0.0272084288729968,0,0,0,0,0,0,0,0
"15","Vcpip1",0.291054194168931,0.435300834669613,0.140415802557885,0.212612018631838,0.322508856226814,0.200295966804328,0.228385125079321,0.189559861636227,0.621820617273009,0.19551171659499,0.220497837085427,0.548069063348842,0.549338331167984,0
"16","1700034P13Rik",0.00155641885194827,0.00722943175994131,0.00379230193385377,0,0.00299396132518494,0,0.00670468485460125,0,0.00501745618467746,0,0,0,0,0
"17","Sgk3",0.451392855966398,0.457836671776135,0.293475206110182,0.361859870620647,0.413296338884515,0.150709668590358,0.52294131708256,0.0426459252271983,0.47584668238322,0.14317632290765,0.133328972484616,0.33402674735081,0.714433590529563,0.327618985091065
"18","Mcmdc2",0,0.00286598843428498,0,0.0469751780117063,0,0.011855672078946,0.00685815681670281,0.00716191791344641,0,0,0.0252044714957924,0.0332338195725649,0,0
"19","Snhg6",0.31452836443372,0.287173107002861,0.548718437360203,0.139110917446074,0.444399627481236,0.205718142461943,0.367372414268809,0.428282466739623,0.365477047772289,0.410625870913829,0.239939652694239,0.128048260911777,0.129506656921306,0.148151252163402
"20","Tcf24",0,0.0107218507608323,0.00368435818997886,0.00236995577204232,0.00378811003012496,0,0,0,0,0,0,0.021213212360694,0,0
"21","Cops5",0.381870551424401,0.548719605369775,0.610841430983628,0.368745406054745,0.475385960674315,0.268851160941824,0.375322809714104,0.422754615382445,0.43285110188821,0.410263343457666,0.516692613896655,0.20085582545319,0.534602096276448,0.176782363206132
"22","Cspp1",0.15235995452963,0.581882751449696,0.233740077248818,0.657930599784364,0.54748639956702,0.380941579422869,0.199756886557953,0.369360475203976,0.565688321381061,0.26499674992335,0.727296314111926,0.468063404409889,0.448753564497185,0.172920715647906
"23","Arfgef1",0.378938704793835,0.431816026747058,0.180636659332019,0.497553572780662,0.322636400392311,0.506398824780859,0.297455725817582,0.361761471898539,0.359387815839191,0.570286274652292,0.422160052613087,0.629448745207607,0.640904132380474,0.284344883945551
"24","Prex2",0,0,0.00624707639126002,0,0,0,0,0,0,0,0,0,0,0
"25","Sulf1",0.00187080223279882,0,0.0751539637984941,0.0106681333212776,0.00318349640107299,0,0,0,0,0,0,0,0,0
"26","Ncoa2",0.141779839058712,0.315446150544117,0.0776396399661324,0.277965167950126,0.214103279548446,0.232879196741704,0.229288881833355,0.407480612673344,0.0979699371018607,0.18514115307048,0.21393711734765,0.154121231315072,0.109028583715949,0.239850847756399
"27","Tram1",0.688380737854497,1.02304591332204,0.797705029610574,0.456446136612074,0.909373904959728,0.29094056420996,0.655679417787117,0.644832033051204,0.910796065875155,0.885362860567758,0.745931271280683,0.12016636262465,0.586630821565065,0.444454444149327
"28","Lactb2",0.123470742459456,0.409561462080556,0.201745161583035,0.0849411340839143,0.268721876150801,0.249490624894775,0.149193946652661,0.177631574044242,0.033410065565825,0.146844093246024,0.260950240767886,0.0332338195725649,0.0855734336709972,0
"29","Eya1",0.00140945542252231,0,0.00397402783911895,0,0,0,0.0103673662923169,0,0,0.178510926995081,0,0,0,0
"30","Terf1",0.111798350180883,0.247953681508671,0.197438395393757,0.135936258932787,0.224614250546447,0.0430785701735582,0.124209236051426,0.243946712643916,0.227187087678526,0.387860320424325,0.24819332759784,0.0948837170362307,0,0.207204702936869
"31","4930444P10Rik",0,0.00357321898088662,0,0,0,0,0,0,0,0,0,0,0,0
"32","Rpl7",2.8127875384227,2.42496924242775,2.76129344097859,1.90930432755278,2.59071249716335,1.71291934763357,3.03995298968904,3.18575650469699,2.46776544589976,3.17306783381651,3.30364749217494,1.67281943138422,2.91236099188167,3.17060049906582
"33","Rdh10",0.0138173828511042,0.153792999135298,0.0334547835927724,0.0779355949670069,0.0582941975393063,0,0.0132384926765949,0.0458483903069488,0.0655599427783028,0.0274738781163335,0,0,0.189528481493381,0
"34","Stau2",0.0196700417096312,0.140562923135146,0.100156904146445,0.00359666042525771,0.104777804737129,0,0.0259287330004037,0.0209028034988454,0.0427472131941496,0,0,0,0,0
"35","Ube2w",0.273488219107321,0.368185897989285,0.419026047851933,0.354673225549615,0.335258536242955,0.168692000790275,0.269118198678473,0.198758437190888,0.381780510360511,0.352029243967209,0.316119453402773,0.429100675735387,0.428997572612955,0.681368443259482
"36","Eloc",0.94552302838841,0.769809701982254,1.32103761510009,1.10349590811417,0.819365667350525,1.17363553352504,0.876429096693726,0.966703383772362,0.810554830244737,0.897829132369034,0.831521252088165,1.15575469145478,0.750807113406661,0.755187458558313
"37","Tmem70",0.20726398888111,0.353943009235931,0.233858564959923,0.184164150087563,0.252645089753677,0.109705499230697,0.225641080877745,0.179331186794976,0.289005101652322,0.247090900388546,0.235271486918835,0.0998720047139251,0.0657950252399736,0.265370830752501
"38","Ly96",0.513148460489817,0.685925830914997,0.382202416356144,0.55336455098875,0.604092090966707,0.895546015612901,0.161922137029502,0.148654495491644,0.539643309356853,0.0164461161638621,0.173067543701915,0.710532217557896,0.399901592711755,0.243197517116228
"39","Mcm3",0.0791543871535341,0.266200985679195,0.520074752564928,0.0233559411138118,0.299356556920928,0,0.0964400340241009,0.204569754355338,0.149255184999609,0.121909268194784,0.0606257593973799,0,0,0
"40","Paqr8",0.0120487756833214,0.00985594907674518,0.00240106645819009,0.0130031963672081,0,0,0.0272196093470513,0.0384826979543292,0.00750584097899469,0,0,0.021213212360694,0,0.144597384465452
"41","Efhc1",0.00177929563011229,0.00258745745681867,0.00225521444561811,0,0.00596643749566454,0,0,0,0,0,0,0,0,0
"42","Tram2",0.155182213360302,0.0878392864477932,0.0697400942447602,0.0739647456287419,0.09500312983945,0.033987623540651,0.0471986940729171,0.0312364933667108,0.0600454669718762,0.212356235856532,0.094792155868067,0.109967683133855,0.0657950252399736,0
"43","Tmem14a",0.00461921282577684,0.0197450709297731,0.0177234333863406,0.00484386770092935,0.015229572054362,0,0.0100643168183294,0.0209218479242081,0.0880967266036434,0.0256322276114684,0,0,0.063495655326774,0
"44","Gsta3",0.00370241071950408,0,0,0,0,0,0,0,0,0,0,0,0,0
"45","Gm29107",0,0.0209495279712846,0,0,0.012777989415177,0,0,0,0,0,0,0,0,0
"46","Ogfrl1",0.579265052742263,0.945554187948592,0.424424010009061,1.07576834948856,0.686160702888489,0.4783386125091,0.459184042790818,0.0936175712895439,0.515068874318857,0.0825081107660749,0.226860223553019,1.50296743601954,1.05659969161677,0.641511949587316
"47","B3gat2",0.00779077471439509,0.0733604283277746,0.00226000339369779,0.0362517609063717,0.0313066875833394,0.0561800301696584,0.0114453218400053,0.0483907289441835,0.107357703955425,0.191703186352765,0,0,0,0
"48","Smap1",0.68156475659301,0.894200033087826,0.643898002933857,0.794487641112622,0.736062915855771,0.72615711376057,0.587453056253283,1.07240388792985,0.666541249533055,0.940348200129485,0.604894082623513,0.769134200729723,0.654541429852145,1.47451924047198
"49","Sdhaf4",0.274106919459131,0.34947819856945,0.513005879463116,0.13052279843873,0.354386489845931,0.0210390085077066,0.362236453281079,0.332673091461656,0.362194813715852,0.465337141828508,0.317900747910182,0.0729771512142118,0.196424557997438,0
"50","Fam135a",0,0.153704616634675,0.0198363842019498,0,0.070188757992355,0,0.0172115981881366,0,0,0.0274023529831348,0,0,0,0
"51","Lmbrd1",0.32732729276572,0.554448654914856,0.271373620414488,0.298162463954011,0.399645431847148,0.500444640943754,0.171309355787852,0.172285740535398,0.443693486771468,0.356788735414135,0.58184454979903,0.47224546706428,0.583946388981045,0.169587111904381
"52","Phf3",0.422661542605244,0.780425296175798,0.293510143810733,0.656124902736778,0.602198479078224,0.591931687914037,0.383376664179706,0.715328597355246,0.474597262611481,0.81019149250519,0.928152889350197,0.750329552260714,0.457003194726789,0.431476805671361
"53","Ptp4a1",0.0163667435158367,0.062005811364094,0.00613520167572168,0.107370509807944,0.0583299832766133,0.0830426133384037,0.0279147403991545,0.0469922158836453,0.0263052618862739,0.0257782772304865,0.0937561571248942,0.0434088393581091,0.0936759830091513,0
"54","Ptp4a1.1",0.0215392711901466,0.0170207575943995,0.0147354168462162,0.0473001955673734,0.00924022349012509,0.0495755040109939,0.0139853101597394,0.0277640153165882,0.0128889687904993,0,0.0441229874904356,0.0567334926953502,0,0
"55","Prim2",0.0486623511441328,0.115563716686937,0.066938985257447,0.056069312290433,0.0575223825014923,0.0342879095366147,0.0242009398556237,0.0314821507444726,0.0696600335157159,0.0873407635980161,0.0668655100330495,0.100589262211165,0.116073520056643,0
"56","Rab23",0.00171129947501705,0.0402109500860863,0.0160093530140799,0.0155136209961624,0.041908255121723,0,0.00989005465283849,0.0490327412954249,0,0,0.0708382475106806,0,0,0
"57","Bag2",0.0089021625640713,0.0261264464506869,0.021159534031183,0,0.0113952068652834,0,0,0,0,0,0,0,0,0
"58","Zfp451",0.146462228895907,0.412358240428264,0.135850857615969,0.152913220942438,0.293667998575727,0.0393374842780288,0.172710930559114,0.244772956476793,0.102814392302286,0.151243967781039,0.164138932756168,0.0881624332908884,0,0.317258273713761
"59","Bend6",0.0164047727827758,0.265237311931389,0.0212954723676593,0.00986069701666791,0.178895592188835,0.00763152762100828,0.0130349981073343,0.051071690372794,0.0822973009475851,0.0371127644774802,0,0,0,0
"60","Dst",0.123210373318448,1.11992393980194,0.406537871488226,0.0567388531699236,0.911737891465211,0.0239908812627925,0.0127276686231543,0.0319289619740411,0.599089355408608,0.0180045552728805,0,0,0,0
"61","Gm26788",0,0.00644871870979551,0.00249487557488213,0,0,0,0,0,0,0,0,0,0,0
"62","Gm37233",0.0245431692515393,0.135293203885333,0.0128901474324535,0.0105797746290616,0.13600370755312,0.0383800520888852,0.0227423296213476,0.0140491408229415,0.00647885921919406,0.0334664055956112,0,0,0,0.123537503952247
"63","Ccdc115",0.53633824627779,0.395443904175683,0.413905802797313,0.329295560114225,0.435134329038385,0.136490872378843,0.292887269702415,0.306663541996837,0.323224490265495,0.291414816292064,0.203128653259732,0,0.193714189505053,0.201603061943314
"64","Imp4",0.276003335577993,0.345764580999639,0.382927631432359,0.276423587237238,0.368856468709967,0.217964846545215,0.259367472297861,0.371470004319701,0.334676167837192,0.319753474308454,0.35429945643656,0.275467951741004,0.382599151566693,0
"65","Ptpn18",2.04889754236642,1.99590177708861,2.07679681530714,0.999983504699507,1.97800676855685,0.285895577606268,1.81439606070874,2.47925974624201,2.01094441042337,2.58156102843324,1.96342068230154,0.878327304407648,1.53990188714704,2.5547954652373
"66","Gm28417",0.0381615001012829,0.385415006166379,0.0953785801568581,0.0152793931135946,0.196144248435164,0.0114563487790341,0.0226845249238552,0.0531595704463355,0.0897915856904337,0.0433924705491601,0.0905049883758673,0,0,0.149873014350475
"67","4930568A12Rik",0.0083058174035977,0.017261034370229,0.00561348510458209,0.0217388185386675,0.0200093362448859,0,0.00249400010808074,0,0,0,0,0,0,0
"68","Arhgef4",0.0105874298411901,0.0219167735211817,0,0.00961053161563791,0.0153900231274148,0,0.00311623810920806,0,0.00681086946310066,0,0,0,0,0
"69","Gm38336",0.00403829194654893,0.00359402342012937,0,0,0.00271283643773882,0.0420239627015695,0,0,0,0,0,0,0,0
"70","Fam168b",0.294666925905478,0.536296771874709,0.213637837943108,0.457957178847941,0.368051609957588,0.423453843809565,0.354535565146106,0.411423505020989,0.341802247757859,0.373040904009997,0.330598062298109,0.216156734757458,0.704967919013905,0
"71","Plekhb2",0.285305172445705,0.214713693795344,0.218309396500526,0.195364325200601,0.169127894743633,0.20460993149688,0.25972855788845,0.184726634617916,0.242085057594943,0.119007750523526,0,0.374795970038449,0.318418856191211,0.171158324205233
"72","Hs6st1",0.0845697480092841,0.472024272671922,0.0797528898094826,0.0160667978455139,0.270742149173178,0,0.181921825402087,0.0548636437807265,0.290990462500875,0,0.140072193585891,0,0.187380156605622,0
"73","Gm37335",0,0.00632976879806059,0,0,0.00469475834352791,0,0,0,0,0,0,0,0,0
"74","Uggt1",0.276735618183437,0.430622345270795,0.334838643215611,0.366592629906776,0.424077811554402,0.142537905556904,0.304410401854899,0.341194057614586,0.180800205272953,0.300878083330977,0.245769826208307,0.0649739400841675,0.418567648236754,0.201603061943314
"75","Neurl3",0.752671560807441,0.494066760932373,0.090067268319515,1.45803314177971,0.383963693464931,0.687532782127581,0.677666658874523,0.677139785617019,0.774585945707469,0.68253653263961,0.698596802983762,0.882389670933162,0.806097870623897,1.59345561969928
"76","Arid5a",0.255707729800504,0.188278962455421,0.136618751547236,0.493119894621765,0.260322090216589,0.0916718426808855,0.300508581142349,0.47744626345789,0.304141470975573,0.354089528587321,0.404651536137313,0.738139737342791,0.0484466480098603,0.148151252163402
"77","4930403P22Rik",0.00282631531164184,0.0127671476512554,0,0.0234232744535333,0.0113464057484687,0.00895492018121673,0.00309346366330663,0.0113599374982036,0.0905538327600706,0.0341837668756252,0,0,0,0
"78","Kansl3",0.134437103913478,0.201587361760914,0.0764529820668101,0.240164625120385,0.199671347190298,0.169180126508139,0.181357604106173,0.189866125588161,0.189141547099793,0.215990142271729,0.165962916612179,0.198044639240054,0.376839753346062,0.171848283265172
"79","Lman2l",0.154786795617863,0.475183646218556,0.183511860145782,0.174471967905326,0.415880410896961,0.0736157176197291,0.206946493808358,0.16749890882812,0.255743232510773,0.0638570730998507,0.175830569118875,0.191015841172208,0.22702019528326,0
"80","Cnnm4",0.0546416647830268,0.0889947583291793,0.0306658584722618,0.133143640735916,0.0908857659225923,0.0336165179832208,0.0671438779093226,0.00770852181940885,0.0738583329159181,0.0807151559927348,0.0170424586162167,0.141165957591192,0.259685822884831,0
"81","Cnnm3",0.0719750146071632,0.215461988046038,0.0501017597252093,0.135942149012147,0.196488494357135,0.0204156445330214,0.101149045285171,0.179620347537256,0.107992596661032,0.13632705618713,0.0488698557541994,0,0,0
"82","Gm38033",0,0.00307711486569286,0,0,0,0,0,0,0,0,0,0,0,0
"83","Ankrd23",0.00992292400605592,0.010213520822852,0,0.0091385760320089,0.0116855811745948,0,0.00451246852306846,0.0166255974121412,0.00701176145989329,0,0,0,0,0
"84","Ankrd39",0.0794100884342968,0.109108463041275,0.113664224347426,0.0902741024061467,0.122100540809393,0.0564867521100838,0.0623187680011732,0.123167203925637,0.175715587129606,0.199231560512092,0.0100756113810565,0.0718896422608261,0.225398708129524,0
"85","Sema4c",0.00569446244305358,0.274252938878926,0.069583528583573,0,0.265272897451396,0.00368019823238315,0.0309558647999657,0,0.00501788671273767,0.061459377908796,0,0,0,0.0803283392493469
"86","D430040D24Rik",0,0.0351729283497552,0.0101221432843529,0,0.0479452300409065,0,0,0,0,0.0432180876614632,0,0,0,0
"87","Fam178b",0,0.0272095277913986,0.0156665104480233,0,0.0239832212570581,0,0.00581946794024781,0,0,0,0,0,0,0
"88","Cox5b",1.88564104965137,1.14741984461483,1.98269055747176,1.75864514513292,1.35506813380076,1.4617026685501,1.97384673263686,1.63671508790356,1.70531502542454,1.83682631681722,1.59843462927988,1.53450767710741,1.5942066473648,1.16390188085347
"89","Actr1b",0.12232318318202,0.204687661294921,0.211614171864113,0.130730521477057,0.184921049430668,0.117824307554259,0.139303421571377,0.115689858411713,0.321726654960918,0.0937717699747018,0.215842696325714,0.199804856776872,0.495054279382136,0.205157505889375
"90","4933424G06Rik",0,0.00495099535941885,0.00295790469608412,0.00378897408481267,0,0.00695339594938288,0.00545209218943226,0.0091242174906609,0,0,0,0,0,0
"91","Zap70",0,0,0.0107988502789842,0,0,0,0,0.47624670269519,0,0.32975805294319,0,0,0,0
"92","Tmem131",0.436591839296782,0.533307230759033,0.20903097890333,0.221778802067782,0.4833420772748,0.180530738571809,0.413515452629009,0.308665408426589,0.424586636908466,0.331484435804694,0.257093178269257,0.0886720050744628,0.851591260866795,0
"93","Gm38115",0.0416402128280931,0.0830456293816356,0.00274277109367753,0.0116071702522039,0.0658590773147521,0.017258216171277,0.0488234051171783,0.0484153306393705,0,0.0586102922045033,0.0669235484515837,0.0761998043294376,0.157065792161682,0
"94","Vwa3b",0.00491801106879553,0.00385683909133115,0,0,0,0,0,0,0,0,0,0,0,0
"95","Inpp4a",0.119242883032731,0.176416962623714,0.0330072458390268,0.208022266825176,0.0869648696268952,0.141696022122294,0.135528740990015,0.188765706073572,0.157778071868367,0.0765500449413113,0.125791539595659,0.0991270263398954,0.417511766541111,0
"96","Coa5",0.381646608957987,0.329279806324532,0.344950400043549,0.327076256550127,0.2809876194157,0.347003677654601,0.291202963005089,0.258452784456209,0.516196157912864,0.269238551216239,0.107504281523812,0.498501681179164,0.495742976511397,0.239850847756399
"97","Unc50",0.441266759112952,0.778164776960321,0.649066014250653,0.613513881170148,0.760193639731945,0.529850699547298,0.45344256411162,0.464791092456471,0.471406158243287,0.689027835486144,0.298759498181479,0.39054262647852,0.623396549756023,0.545092870837641
"98","Mgat4a",0.244623808928535,1.16755193320704,0.397339648825381,0.278286158129444,0.874389182777816,0.147981506743115,0.183235399743357,0.118888709188412,0.499928431353336,0.213776038591153,0.233891276337514,0.274914022624164,0,0
"99","2010300C02Rik",0,0.0336753056528193,0.0200982579932665,0,0.0104762737719708,0,0.00343274312628851,0.0409956771679008,0,0.0934867033667286,0,0,0,0
"100","Tsga10",0.112562382044942,0.287362923964192,0.0563498368926275,0.115183863248335,0.158016874923168,0.114273357537789,0.0484771413602791,0.0210779892526165,0.0848787683568051,0.084478441764302,0.0866278566900003,0.249666060257413,0,0.0803283392493469
"101","Lipt1",0.00150480739026385,0.0158025577101446,0.00599086285893665,0,0.00291177984903711,0,0.00732138523388363,0.0139062354600322,0,0.0209794236691471,0,0.0633885571262573,0,0
"102","Mitd1",0.450317008883842,0.22860547912852,0.183197621489239,0.282756970602502,0.294989823325826,0.150066427366007,0.300364605850861,0.755445413104827,0.307343648756593,0.648412666517721,0.659387701563656,1.22857653112629,0.315997973091204,0.371910633280621
"103","Mrpl30",1.10683336912843,0.627634216370941,0.893514948941803,0.798423837002348,0.740402611940557,0.546104928256415,1.14901347885429,1.11640978462897,1.11658945381899,1.28120941990525,1.04576935111426,1.01817217565867,1.08242760552779,0.88843456486853
"104","Txndc9",0.632305391135829,0.563198289788178,0.525452657648724,0.479324215166183,0.512374896586714,0.586562360240658,0.606465942962369,0.611016108457319,0.60743779571165,0.456984134583996,0.567926004880622,0.44174361617241,0.178951851480523,0.0803283392493469
