"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Sipa1l2",1.83562881758672e-12,0.0647236151390775,0.088,0.044,2.5348198342055e-08,"Granulocytes 1","Sipa1l2"
"Ctsc",1.85689493538871e-12,-0.279496349215278,0.119,0.122,2.56418621627827e-08,"Granulocytes 1","Ctsc"
"Rbck1",1.89167702363428e-12,-0.152990718359222,0.03,0.057,2.61221680193658e-08,"Granulocytes 1","Rbck1"
"Iqgap2",1.91034475984654e-12,0.0456648510955786,0.07,0.033,2.63799507887209e-08,"Granulocytes 1","Iqgap2"
"Ppp2r5c",1.92996633293857e-12,-0.204804708090694,0.123,0.14,2.66509050915487e-08,"Granulocytes 1","Ppp2r5c"
"Timm10",1.93146973210249e-12,-0.124336207580296,0.002,0.029,2.66716655306032e-08,"Granulocytes 1","Timm10"
"Gm34961",1.97267139324806e-12,0.0228703421786944,0.062,0.03,2.72406192693625e-08,"Granulocytes 1","Gm34961"
"Map4",1.97430044560017e-12,-0.280399656623718,0.093,0.143,2.72631148532928e-08,"Granulocytes 1","Map4"
"Cdk9",1.98077061098454e-12,0.0333736441858032,0.271,0.205,2.73524613670855e-08,"Granulocytes 1","Cdk9"
"Aim2",1.99001681752e-12,-0.181310525075232,0.135,0.141,2.74801422331337e-08,"Granulocytes 1","Aim2"
"Gm20559",1.99248751076348e-12,-0.0500956336102218,0.186,0.149,2.75142600361329e-08,"Granulocytes 1","Gm20559"
"Mob2",2.04094428274768e-12,-0.142598280629416,0.048,0.062,2.81833996004627e-08,"Granulocytes 1","Mob2"
"Bbc3",2.04127779220138e-12,-0.220166932571614,0.026,0.066,2.81880050325089e-08,"Granulocytes 1","Bbc3"
"Spidr",2.06389804915726e-12,-0.201729973528146,0.108,0.129,2.85003681608127e-08,"Granulocytes 1","Spidr"
"Rbm17",2.06409417700707e-12,-0.192645538364724,0.087,0.114,2.85030764902906e-08,"Granulocytes 1","Rbm17"
"Tecpr1",2.10921083705696e-12,-0.2127290173196,0.107,0.129,2.91260924489196e-08,"Granulocytes 1","Tecpr1"
"Timm50",2.15404205530125e-12,-0.119896324228742,0.007,0.034,2.9745166741655e-08,"Granulocytes 1","Timm50"
"Irak1",2.17822614004382e-12,-0.209648408103467,0.034,0.087,3.00791247678651e-08,"Granulocytes 1","Irak1"
"Hook3",2.19264671020391e-12,-0.169251384241364,0.173,0.174,3.02782584212058e-08,"Granulocytes 1","Hook3"
"Ncbp2",2.21093822887402e-12,-0.17234772301054,0.012,0.051,3.05308460025214e-08,"Granulocytes 1","Ncbp2"
"Rel",2.2343467918218e-12,-0.0896087286025866,0.408,0.362,3.08540948482672e-08,"Granulocytes 1","Rel"
"Cmc1",2.29893998254788e-12,-0.146227884746817,0.005,0.038,3.17460622190037e-08,"Granulocytes 1","Cmc1"
"Isca2",2.42311194184213e-12,-0.195937416148756,0.038,0.075,3.34607528048979e-08,"Granulocytes 1","Isca2"
"Mfsd14b",2.43362985840377e-12,-0.077198327676211,0.162,0.138,3.36059947146977e-08,"Granulocytes 1","Mfsd14b"
"Ufd1",2.43987849485711e-12,-0.207978628969325,0.085,0.112,3.36922821354818e-08,"Granulocytes 1","Ufd1"
"1810013L24Rik",2.44957599514933e-12,-0.155249172756722,0.138,0.141,3.38261949170171e-08,"Granulocytes 1","1810013L24Rik"
"Gm1604a",2.46796452387469e-12,0.0429183887344328,0.052,0.019,3.40801221101856e-08,"Granulocytes 1","Gm1604a"
"Alox5",2.50405287635596e-12,0.0494965007934159,0.082,0.044,3.45784661695994e-08,"Granulocytes 1","Alox5"
"Irf1",2.55650916971486e-12,-0.00326186089722902,0.216,0.166,3.53028351245925e-08,"Granulocytes 1","Irf1"
"Vegfa",2.63282536194655e-12,-0.328954508676875,0.374,0.406,3.635668542312e-08,"Granulocytes 1","Vegfa"
"Mbd5",2.64494485826445e-12,0.0592492703944639,0.075,0.038,3.65240435477739e-08,"Granulocytes 1","Mbd5"
"Dazap1",2.64521724459241e-12,-0.194178297998242,0.152,0.167,3.65278049305766e-08,"Granulocytes 1","Dazap1"
"Med13",2.68831777362487e-12,-0.0999202881166961,0.156,0.14,3.71229801359859e-08,"Granulocytes 1","Med13"
"Get4",2.6978146505562e-12,-0.158571376100311,0.027,0.049,3.72541225095306e-08,"Granulocytes 1","Get4"
"Rufy3",2.70425887526495e-12,-0.208166539929211,0.032,0.066,3.73431108085337e-08,"Granulocytes 1","Rufy3"
"Micu2",2.77075049564172e-12,-0.186096556544285,0.065,0.093,3.82612935943165e-08,"Granulocytes 1","Micu2"
"Usp9x",2.78982046426025e-12,-0.0728161748639947,0.158,0.136,3.85246307909698e-08,"Granulocytes 1","Usp9x"
"Ppm1a",2.80487582082798e-12,-0.149824538085501,0.17,0.17,3.87325302098136e-08,"Granulocytes 1","Ppm1a"
"Eif1a",2.85990877395605e-12,-0.243531952100931,0.075,0.103,3.94924802595592e-08,"Granulocytes 1","Eif1a"
"Arhgap26",2.87180842100821e-12,0.0499463575473978,0.127,0.078,3.96568024857024e-08,"Granulocytes 1","Arhgap26"
"Pnrc2",2.90578856679247e-12,-0.112788193561684,0.148,0.137,4.01260343188372e-08,"Granulocytes 1","Pnrc2"
"Btbd7",2.95616055192328e-12,-0.040903695920406,0.193,0.16,4.08216210615085e-08,"Granulocytes 1","Btbd7"
"Phip",2.97568665359746e-12,-0.225824758397775,0.126,0.144,4.10912569995273e-08,"Granulocytes 1","Phip"
"Hist1h4i",3.02306830342784e-12,-0.272851640671675,0.264,0.273,4.1745550202035e-08,"Granulocytes 1","Hist1h4i"
"Ceacam10",3.02859480589212e-12,0.0486870984576281,0.03,0.005,4.18218656745643e-08,"Granulocytes 1","Ceacam10"
"Pds5a",3.07849609126588e-12,-0.138110411535608,0.192,0.181,4.25109525242905e-08,"Granulocytes 1","Pds5a"
"C9orf72",3.12091626357627e-12,-0.140979793516703,0.309,0.293,4.30967326837248e-08,"Granulocytes 1","C9orf72"
"2610507B11Rik",3.1471275966968e-12,-0.149636844044269,0.012,0.048,4.34586849827861e-08,"Granulocytes 1","2610507B11Rik"
"Tnfaip8l2",3.14943671350469e-12,0.0487726970421556,0.118,0.072,4.34905715767862e-08,"Granulocytes 1","Tnfaip8l2"
"Asah1",3.15905512002167e-12,-0.217688609967533,0.089,0.121,4.36233921523793e-08,"Granulocytes 1","Asah1"
"Napg",3.25698519975168e-12,-0.0763212193447254,0.108,0.093,4.4975708623371e-08,"Granulocytes 1","Napg"
"Tst",3.29540411535042e-12,-0.15037098925827,0.064,0.077,4.55062354288739e-08,"Granulocytes 1","Tst"
"Akirin2",3.37205807123533e-12,-0.165581277616264,0.073,0.097,4.65647499056887e-08,"Granulocytes 1","Akirin2"
"Gse1",3.37949872831317e-12,-0.137769186876579,0.157,0.153,4.66674979392766e-08,"Granulocytes 1","Gse1"
"2310022B05Rik",3.39485118462946e-12,-0.216281800064754,0.05,0.085,4.68795000085482e-08,"Granulocytes 1","2310022B05Rik"
"Clybl",3.40405266636996e-12,-0.205268177939362,0.026,0.071,4.70065632699028e-08,"Granulocytes 1","Clybl"
"Tgfb1",3.44699032229871e-12,-0.276443990974745,0.148,0.196,4.75994893606229e-08,"Granulocytes 1","Tgfb1"
"Ap1ar",3.45882504342338e-12,-0.141357064339961,0.007,0.041,4.77629150246335e-08,"Granulocytes 1","Ap1ar"
"Slc39a1",3.46311324051262e-12,-0.212609564436498,0.067,0.1,4.78221307382387e-08,"Granulocytes 1","Slc39a1"
"Herc4",3.50338879417937e-12,-0.0686726074479373,0.128,0.106,4.83782958588229e-08,"Granulocytes 1","Herc4"
"Usp34",3.50757016856084e-12,-0.157970246819455,0.194,0.193,4.84360364576566e-08,"Granulocytes 1","Usp34"
"Srsf3",3.51705480766543e-12,-0.0750074620577244,0.269,0.232,4.8567009839052e-08,"Granulocytes 1","Srsf3"
"Mrpl22",3.5189872369219e-12,-0.125365039590681,0.005,0.037,4.85936947546545e-08,"Granulocytes 1","Mrpl22"
"Cenpl",3.55332447133038e-12,0.0909930862165287,0.07,0.027,4.90678576246012e-08,"Granulocytes 1","Cenpl"
"Smn1",3.61474150848818e-12,-0.174138065439027,0.068,0.082,4.99159654907132e-08,"Granulocytes 1","Smn1"
"Phf20",3.64046870554081e-12,-0.209775458089383,0.032,0.067,5.02712323548131e-08,"Granulocytes 1","Phf20"
"Prpf38b",3.65193411319339e-12,-0.218410608206691,0.138,0.159,5.04295581690875e-08,"Granulocytes 1","Prpf38b"
"Tor1a",3.68638996708594e-12,-0.161777974877818,0.128,0.14,5.09053590554898e-08,"Granulocytes 1","Tor1a"
"Slc12a6",3.71523731748275e-12,-0.0521975432119826,0.165,0.133,5.13037121171192e-08,"Granulocytes 1","Slc12a6"
"Brat1",3.71817638496914e-12,-0.155256846493689,0.013,0.045,5.13442977000388e-08,"Granulocytes 1","Brat1"
"Chmp1b",3.75958442558554e-12,-0.0709086032787777,0.154,0.128,5.19161013329107e-08,"Granulocytes 1","Chmp1b"
"Pde6d",3.82936255108291e-12,-0.224178810300937,0.041,0.086,5.28796674679038e-08,"Granulocytes 1","Pde6d"
"Dpm2",3.84814045494846e-12,-0.177158276924186,0.093,0.114,5.31389715423833e-08,"Granulocytes 1","Dpm2"
"Srsf9",3.85979411061847e-12,-0.130387889125479,0.153,0.152,5.32998968735305e-08,"Granulocytes 1","Srsf9"
"Mapk1ip1l",3.91668100240882e-12,-0.0311436518094877,0.161,0.125,5.40854479622634e-08,"Granulocytes 1","Mapk1ip1l"
"Creld2",3.92986805007304e-12,-0.151049284846827,0.018,0.049,5.42675479034587e-08,"Granulocytes 1","Creld2"
"Rraga",3.9790996874498e-12,-0.131511467117049,0.161,0.157,5.49473875839943e-08,"Granulocytes 1","Rraga"
"Eif3l",3.99682028292165e-12,-0.15953815405376,0.017,0.056,5.51920912868651e-08,"Granulocytes 1","Eif3l"
"Selenbp1",4.01046270148459e-12,-0.145136823920537,0.002,0.031,5.53804794448008e-08,"Granulocytes 1","Selenbp1"
"2310009B15Rik",4.06007711904908e-12,-0.203424594637408,0.023,0.063,5.60656049369487e-08,"Granulocytes 1","2310009B15Rik"
"Krit1",4.06973983508119e-12,-0.172584515555801,0.116,0.124,5.61990373826362e-08,"Granulocytes 1","Krit1"
"Mex3d",4.12443135795278e-12,-0.138495236036763,0.013,0.04,5.69542726219699e-08,"Granulocytes 1","Mex3d"
"Pik3r5",4.18843414074246e-12,-0.177430749613259,0.07,0.099,5.78380870495127e-08,"Granulocytes 1","Pik3r5"
"Elavl1",4.38922401237895e-12,-0.200374084111916,0.09,0.118,6.06107943869409e-08,"Granulocytes 1","Elavl1"
"Katna1",4.52400830690125e-12,-0.00847708055056096,0.181,0.14,6.24720307099993e-08,"Granulocytes 1","Katna1"
"Pcbd2",4.54296485834532e-12,-0.241588819257768,0.1,0.138,6.27338017288906e-08,"Granulocytes 1","Pcbd2"
"Ttc7",4.56691107021097e-12,-0.187716875271968,0.081,0.102,6.30644749685433e-08,"Granulocytes 1","Ttc7"
"Retreg3",4.73835705165123e-12,-0.124029090801087,0.082,0.078,6.54319725262519e-08,"Granulocytes 1","Retreg3"
"Ppp2r2a",4.77251267135548e-12,-0.242392133761787,0.064,0.106,6.59036274787479e-08,"Granulocytes 1","Ppp2r2a"
"Ube3a",4.93464037215392e-12,-0.239378273619962,0.059,0.1,6.81424488990735e-08,"Granulocytes 1","Ube3a"
"Ptgr1",4.97280005163113e-12,-0.186754507314968,0.005,0.035,6.86693959129743e-08,"Granulocytes 1","Ptgr1"
"Cep170",4.9811300974294e-12,-0.0982603684901008,0.204,0.186,6.87844255154026e-08,"Granulocytes 1","Cep170"
"Rab24",5.00026489083775e-12,-0.125853630461202,0.177,0.171,6.90486578775784e-08,"Granulocytes 1","Rab24"
"Ap1s2",5.01677709753553e-12,-0.197088691483244,0.082,0.108,6.92766749398682e-08,"Granulocytes 1","Ap1s2"
"Hmces",5.13041861921896e-12,0.0444964552117023,0.108,0.066,7.08459507127947e-08,"Granulocytes 1","Hmces"
"Amfr",5.17976552554602e-12,-0.194967492538346,0.1,0.127,7.1527382142265e-08,"Granulocytes 1","Amfr"
"Pdcd4",5.18411610949734e-12,-0.15067466881534,0.025,0.041,7.15874593560487e-08,"Granulocytes 1","Pdcd4"
"Wdr33",5.19812463235388e-12,-0.122434251414719,0.198,0.181,7.17809030481747e-08,"Granulocytes 1","Wdr33"
"Hipk1",5.25504103832577e-12,-0.220041933792421,0.142,0.167,7.25668616982406e-08,"Granulocytes 1","Hipk1"
"Tns1",5.28836989321905e-12,0.0548130145368795,0.044,0.013,7.30270998554619e-08,"Granulocytes 1","Tns1"
"Mcur1",5.33792727611965e-12,-0.223050130360833,0.051,0.089,7.37114377559363e-08,"Granulocytes 1","Mcur1"
"Pcnx",5.42023278910195e-12,-0.198975356352573,0.057,0.094,7.48479945847088e-08,"Granulocytes 1","Pcnx"
"Borcs6",5.43020782198211e-12,0.0732076120107877,0.184,0.123,7.49857398137509e-08,"Granulocytes 1","Borcs6"
"Slu7",5.46493551890206e-12,-0.170134946227628,0.124,0.132,7.54652945805186e-08,"Granulocytes 1","Slu7"
"Rnf6",5.48107622103101e-12,-0.196845621422258,0.08,0.108,7.56881815362172e-08,"Granulocytes 1","Rnf6"
"Mrpl21",5.57415074496084e-12,-0.176684981020557,0.013,0.053,7.69734476371643e-08,"Granulocytes 1","Mrpl21"
"Dram2",5.66553251476334e-12,-0.191009970225578,0.076,0.099,7.8235338496367e-08,"Granulocytes 1","Dram2"
"N4bp1",5.74385999169714e-12,-0.0574800736476839,0.463,0.422,7.93169626253458e-08,"Granulocytes 1","N4bp1"
