"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Spata5.1",6.02060391436016e-11,0.142910633210724,0.046,0.009,8.31385194533995e-07,"Granulocytes 3","Spata5"
"Mfsd14a.2",6.15583056633338e-11,0.259340604338509,0.163,0.083,8.50058642904977e-07,"Granulocytes 3","Mfsd14a"
"Tusc2.1",6.30749806152067e-11,0.292476775255503,0.125,0.061,8.7100240731539e-07,"Granulocytes 3","Tusc2"
"Sap30bp.2",6.37806107410595e-11,0.22102963368173,0.107,0.046,8.8074645372329e-07,"Granulocytes 3","Sap30bp"
"Klhdc2.1",6.55206552458776e-11,0.149987971155385,0.047,0.011,9.04774728290324e-07,"Granulocytes 3","Klhdc2"
"Ilk.2",6.60478265274283e-11,0.280530233721488,0.17,0.101,9.12054436517257e-07,"Granulocytes 3","Ilk"
"Hnrnpl.2",6.65156764624545e-11,0.287365310622409,0.202,0.142,9.18514976270034e-07,"Granulocytes 3","Hnrnpl"
"Il10ra.2",6.78761401912313e-11,-0.165904426030844,0.063,0.132,9.37301619900713e-07,"Granulocytes 3","Il10ra"
"Usp50.2",6.86330222081677e-11,0.183196796789729,0.07,0.023,9.47753403672587e-07,"Granulocytes 3","Usp50"
"Ccdc117.2",7.19580453913277e-11,0.143562319383617,0.048,0.01,9.93668648808844e-07,"Granulocytes 3","Ccdc117"
"Mecr.2",7.19877548918539e-11,0.08964438074848,0.023,0.001,9.9407890730161e-07,"Granulocytes 3","Mecr"
"Thoc7.2",7.38479447057777e-11,0.292361658829829,0.138,0.078,1.01976626844208e-06,"Granulocytes 3","Thoc7"
"Relt.2",7.68217035922662e-11,0.180461198181144,0.073,0.023,1.0608309049056e-06,"Granulocytes 3","Relt"
"Scrib.2",7.75386728547148e-11,0.151635780219656,0.057,0.016,1.07073153345076e-06,"Granulocytes 3","Scrib"
"mt-Nd5.2",7.7752589204122e-11,-0.215200301329504,0.083,0.164,1.07368550431972e-06,"Granulocytes 3","mt-Nd5"
"Polr2b.2",7.80007515326942e-11,0.220026011719296,0.094,0.039,1.07711237791497e-06,"Granulocytes 3","Polr2b"
"Psmd10.2",7.86023177174858e-11,0.237727199632838,0.135,0.093,1.08541940536076e-06,"Granulocytes 3","Psmd10"
"Desi2.1",8.11492716619074e-11,0.237342665246638,0.091,0.042,1.12059029237928e-06,"Granulocytes 3","Desi2"
"Ccl25.1",8.12676276613787e-11,0.143838348406261,0.056,0.014,1.12222467037598e-06,"Granulocytes 3","Ccl25"
"Dhrs3.2",8.14448859478389e-11,0.268443309348342,0.094,0.042,1.12467243005371e-06,"Granulocytes 3","Dhrs3"
"Faf1.2",8.3407366464617e-11,0.18977533789409,0.083,0.029,1.1517723235099e-06,"Granulocytes 3","Faf1"
"Auh.2",8.41293068860681e-11,0.250900787334644,0.137,0.074,1.16174159878971e-06,"Granulocytes 3","Auh"
"Asah1.2",8.44752412539577e-11,0.294490336356254,0.173,0.103,1.1665186064759e-06,"Granulocytes 3","Asah1"
"Cinp.2",8.46561132791966e-11,0.167045356655153,0.048,0.015,1.16901626827243e-06,"Granulocytes 3","Cinp"
"Nfic.2",8.49969724717055e-11,0.224135327078199,0.099,0.04,1.17372319286178e-06,"Granulocytes 3","Nfic"
"Dhx16.2",8.75786734254711e-11,0.240747483500751,0.122,0.059,1.20937390133233e-06,"Granulocytes 3","Dhx16"
"Acadm.2",8.83987926741624e-11,0.171723537090856,0.062,0.02,1.22069892803751e-06,"Granulocytes 3","Acadm"
"Klf11.2",8.86935632249795e-11,0.190818515972424,0.06,0.018,1.22476941457374e-06,"Granulocytes 3","Klf11"
"Ethe1.2",8.89543225017165e-11,0.220190535016538,0.107,0.046,1.2283702394262e-06,"Granulocytes 3","Ethe1"
"Gcnt2.2",9.07193139510707e-11,-0.197735164086438,0.21,0.313,1.25274300635033e-06,"Granulocytes 3","Gcnt2"
"Stfa1.2",9.13137839302184e-11,-1.1610838961162,0.025,0.086,1.26095204229239e-06,"Granulocytes 3","Stfa1"
"Prdx2.2",9.1890240544847e-11,0.2219514695212,0.098,0.04,1.26891233168379e-06,"Granulocytes 3","Prdx2"
"Picalm.2",9.32971128364859e-11,-0.475707092193567,0.322,0.438,1.28833983115903e-06,"Granulocytes 3","Picalm"
"Zfp398.1",9.57589105285207e-11,0.11992214146382,0.031,0.004,1.32233479548834e-06,"Granulocytes 3","Zfp398"
"Ywhah.2",1.01644301934126e-10,0.330772854824341,0.364,0.273,1.40360616540835e-06,"Granulocytes 3","Ywhah"
"Nek7",1.01795262604602e-10,0.195641828246527,0.069,0.023,1.40569078130695e-06,"Granulocytes 3","Nek7"
"Hint3.1",1.02201702101795e-10,0.181357383971447,0.06,0.02,1.41130330432369e-06,"Granulocytes 3","Hint3"
"Bag5.1",1.02681361883701e-10,0.1345165019246,0.044,0.009,1.41792692625202e-06,"Granulocytes 3","Bag5"
"Aldh9a1.2",1.04677337153608e-10,0.152666356655799,0.04,0.015,1.44548934875417e-06,"Granulocytes 3","Aldh9a1"
"Uimc1.2",1.06890126329349e-10,0.266796902515858,0.151,0.078,1.47604575448199e-06,"Granulocytes 3","Uimc1"
"Zc3h7a.2",1.08586006418549e-10,-0.21804771887931,0.132,0.224,1.49946416263374e-06,"Granulocytes 3","Zc3h7a"
"Nelfe.2",1.10291653944124e-10,0.250842170226735,0.133,0.09,1.52301744931441e-06,"Granulocytes 3","Nelfe"
"Usp24.2",1.11824211369422e-10,0.187838007374241,0.07,0.023,1.54418053480034e-06,"Granulocytes 3","Usp24"
"Dusp6.2",1.1215390018252e-10,0.336359771951904,0.269,0.18,1.54873320762042e-06,"Granulocytes 3","Dusp6"
"Pilrb1.2",1.13073579194241e-10,0.253631973148114,0.127,0.071,1.56143305509327e-06,"Granulocytes 3","Pilrb1"
"Dbr1.1",1.13720105762406e-10,0.19125770019876,0.062,0.019,1.57036094047307e-06,"Granulocytes 3","Dbr1"
"Heatr1.1",1.13763126949499e-10,0.134512020577425,0.051,0.012,1.57095502004563e-06,"Granulocytes 3","Heatr1"
"Mcrs1.2",1.14446983506878e-10,0.21292949123201,0.09,0.037,1.58039839524648e-06,"Granulocytes 3","Mcrs1"
"Cdk13.2",1.14648268652504e-10,0.297648129813079,0.196,0.131,1.58317794182243e-06,"Granulocytes 3","Cdk13"
"Trim8.2",1.1473074441993e-10,0.252351741204518,0.102,0.056,1.58431684969482e-06,"Granulocytes 3","Trim8"
"Srpk1.2",1.18723828794824e-10,0.227445703089795,0.096,0.044,1.63945735182772e-06,"Granulocytes 3","Srpk1"
"Hdhd2.1",1.1893786936137e-10,0.149985665887738,0.051,0.013,1.64241303801115e-06,"Granulocytes 3","Hdhd2"
"Ankhd1.2",1.20022652488916e-10,0.270782189521666,0.168,0.11,1.65739280821944e-06,"Granulocytes 3","Ankhd1"
"Ppp2r5c.2",1.20235755426726e-10,0.298449120160318,0.198,0.125,1.66033554668766e-06,"Granulocytes 3","Ppp2r5c"
"Slc39a6.2",1.21442146295374e-10,0.20475832129801,0.07,0.023,1.67699459819282e-06,"Granulocytes 3","Slc39a6"
"Cks2.2",1.24918712649948e-10,0.245888312600837,0.353,0.368,1.72500250298314e-06,"Granulocytes 3","Cks2"
"Brcc3.1",1.26278617669356e-10,0.208878469346168,0.075,0.028,1.74378143139613e-06,"Granulocytes 3","Brcc3"
"1810024B03Rik.1",1.26672945915927e-10,0.171111745731949,0.048,0.011,1.74922671015304e-06,"Granulocytes 3","1810024B03Rik"
"Dhx30.2",1.27589420727295e-10,0.150646910436167,0.051,0.013,1.76188231082321e-06,"Granulocytes 3","Dhx30"
"Yme1l1.2",1.2853575397633e-10,0.296032330335949,0.296,0.221,1.77495022665914e-06,"Granulocytes 3","Yme1l1"
"Cd47.2",1.28903239460423e-10,0.314626035942529,0.632,0.578,1.78002483370898e-06,"Granulocytes 3","Cd47"
"Dnajc24.1",1.31873781951705e-10,0.137313630712895,0.038,0.009,1.82104505497109e-06,"Granulocytes 3","Dnajc24"
"Gm16867.2",1.36018278838742e-10,0.266422552357664,0.225,0.138,1.87827641248419e-06,"Granulocytes 3","Gm16867"
"Chchd3.1",1.3649975917791e-10,0.16455175969972,0.051,0.014,1.88492517448775e-06,"Granulocytes 3","Chchd3"
"Prrg2.2",1.38858228225337e-10,0.27095068242916,0.167,0.092,1.91749327356367e-06,"Granulocytes 3","Prrg2"
"Ctbs.2",1.40477489681652e-10,0.238998201810661,0.109,0.052,1.93985365501393e-06,"Granulocytes 3","Ctbs"
"Zfp593.1",1.41059141216788e-10,0.187729656605844,0.06,0.021,1.94788568106263e-06,"Granulocytes 3","Zfp593"
"Rbm22.2",1.41309754323941e-10,0.285523258351757,0.175,0.108,1.9513463974593e-06,"Granulocytes 3","Rbm22"
"Calcrl.2",1.4373354284888e-10,0.166744611469356,0.046,0.01,1.98481649320018e-06,"Granulocytes 3","Calcrl"
"Glmp.2",1.45368507284371e-10,0.282868478547543,0.228,0.143,2.00739371708988e-06,"Granulocytes 3","Glmp"
"Mga.2",1.4725016598246e-10,0.310949411235757,0.193,0.119,2.03337754205179e-06,"Granulocytes 3","Mga"
"Akap8.1",1.49606545881118e-10,0.200407324915859,0.075,0.026,2.06591679207235e-06,"Granulocytes 3","Akap8"
