"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Dnajc24",2.69297364372023e-09,-0.191909954357905,0.164,0.123,4.51207734005325e-05,"Mono/Mac 1","Dnajc24"
"Slfn8",2.69582243799019e-09,-0.352779602853996,0.385,0.298,4.51685049485256e-05,"Mono/Mac 1","Slfn8"
"Smarcd2",2.70765383443148e-09,-0.0485348428885493,0.21,0.099,4.53667399958995e-05,"Mono/Mac 1","Smarcd2"
"Zfand3",2.73757524966542e-09,0.178103208516582,0.403,0.187,4.58680733081441e-05,"Mono/Mac 1","Zfand3"
"Rps23",2.73923316601852e-09,0.226364093630593,0.988,0.877,4.58958516966402e-05,"Mono/Mac 1","Rps23"
"F5",2.74587639684148e-09,0.248227114467175,0.113,0,4.6007159029079e-05,"Mono/Mac 1","F5"
"Myadm",2.75331847580111e-09,0.134598789393541,0.41,0.205,4.61318510620476e-05,"Mono/Mac 1","Myadm"
"Vta1",2.75409543551052e-09,-0.00768969133428971,0.265,0.123,4.61448690219787e-05,"Mono/Mac 1","Vta1"
"Csnk1g3",2.76000168922458e-09,0.0704683722540916,0.212,0.07,4.62438283029579e-05,"Mono/Mac 1","Csnk1g3"
"Ctps2",2.76477849693619e-09,0.0532840151220169,0.166,0.047,4.63238637161658e-05,"Mono/Mac 1","Ctps2"
"Nt5dc2",2.79804550734142e-09,0.394359651360694,0.319,0.105,4.68812524755055e-05,"Mono/Mac 1","Nt5dc2"
"Filip1l",2.80608746930357e-09,0.0852401338997543,0.342,0.152,4.70159955481813e-05,"Mono/Mac 1","Filip1l"
"Aldh3b1",2.8289535883363e-09,0.383051105627739,0.38,0.146,4.73991173725747e-05,"Mono/Mac 1","Aldh3b1"
"Ncapg2",2.83568023262201e-09,-0.160470814356901,0.179,0.094,4.75118222975818e-05,"Mono/Mac 1","Ncapg2"
"Smim14",2.83804685682632e-09,-0.0246268318610088,0.532,0.339,4.7551475086125e-05,"Mono/Mac 1","Smim14"
"Sumo3",2.83987555238164e-09,-0.0952418798274803,0.294,0.17,4.75821148801544e-05,"Mono/Mac 1","Sumo3"
"Olfm1",2.89139903810336e-09,0.0631225265393114,0.33,0.164,4.84453908834219e-05,"Mono/Mac 1","Olfm1"
"Smim7",2.91317578271793e-09,0.0523977682330412,0.323,0.164,4.88102602394388e-05,"Mono/Mac 1","Smim7"
"Bnip3",2.92770118341153e-09,0.268232187015786,0.468,0.234,4.90536333280601e-05,"Mono/Mac 1","Bnip3"
"Cdv3",2.97179244305197e-09,-0.0187955936623655,0.417,0.246,4.97923823833357e-05,"Mono/Mac 1","Cdv3"
"Stx11",3.08065005840948e-09,0.314283684411727,0.189,0.023,5.16162917286509e-05,"Mono/Mac 1","Stx11"
"Zfp106",3.1130794506705e-09,0.221546372073642,0.516,0.275,5.21596461959843e-05,"Mono/Mac 1","Zfp106"
"Mgme1",3.15826731982936e-09,-0.0893377877115731,0.079,0.023,5.2916768943741e-05,"Mono/Mac 1","Mgme1"
