"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Mta2",9.00522655464292e-17,-0.00620812746131361,0.167,0.111,1.50882570923042e-12,"Mono/Mac 1","Mta2"
"Ccng1",9.02310821844741e-17,-0.10651921595052,0.14,0.114,1.51182178200086e-12,"Mono/Mac 1","Ccng1"
"Senp5",9.03603709347191e-17,-0.0743637403383692,0.111,0.085,1.51398801501122e-12,"Mono/Mac 1","Senp5"
"Washc5",9.03719918095124e-17,0.0720144212076298,0.149,0.069,1.51418272276838e-12,"Mono/Mac 1","Washc5"
"Cog2",9.06998520519715e-17,0.0329785799360855,0.111,0.055,1.51967602113078e-12,"Mono/Mac 1","Cog2"
"Ppih",9.07538648378066e-17,0.0111487229719749,0.148,0.09,1.52058100535745e-12,"Mono/Mac 1","Ppih"
"Aarsd1",9.38729791155943e-17,-0.185071265397252,0.117,0.125,1.57284176508178e-12,"Mono/Mac 1","Aarsd1"
"Nfe2",9.42086336250784e-17,0.0649187935459203,0.083,0.028,1.57846565638819e-12,"Mono/Mac 1","Nfe2"
"4930581F22Rik",9.42576730109741e-17,-0.374038660075736,0.083,0.137,1.57928731129887e-12,"Mono/Mac 1","4930581F22Rik"
"Tlnrd1",9.43225672459506e-17,0.0414553350463499,0.098,0.04,1.5803746142059e-12,"Mono/Mac 1","Tlnrd1"
"Tsc22d2",9.48188782104968e-17,-0.170936461768278,0.129,0.128,1.58869030441687e-12,"Mono/Mac 1","Tsc22d2"
"Gpaa1",9.49690749039171e-17,-0.0594667974604587,0.155,0.121,1.59120685001513e-12,"Mono/Mac 1","Gpaa1"
"Cenpa",9.51426742469283e-17,-0.103968221899356,0.166,0.12,1.59411550700728e-12,"Mono/Mac 1","Cenpa"
"Nhsl2",9.84240098126306e-17,0.0362426708560381,0.098,0.042,1.64909428441063e-12,"Mono/Mac 1","Nhsl2"
"Kpnb1",9.94182343840507e-17,-0.142664717426111,0.189,0.167,1.66575251710477e-12,"Mono/Mac 1","Kpnb1"
"C330007P06Rik",9.95731391328493e-17,-0.0256889726025228,0.137,0.087,1.66834794617089e-12,"Mono/Mac 1","C330007P06Rik"
"Ramp1",1.00482914599305e-16,-0.147227203881296,0.32,0.262,1.68359123411135e-12,"Mono/Mac 1","Ramp1"
"Kmt5b",1.02352072280708e-16,-0.0968466065874182,0.187,0.157,1.71490897106327e-12,"Mono/Mac 1","Kmt5b"
"Pgrmc2",1.02620035625757e-16,-0.16637506075535,0.109,0.114,1.71939869690956e-12,"Mono/Mac 1","Pgrmc2"
"Gm49336",1.02684981161154e-16,-0.0547614238521444,0.126,0.086,1.72048685935513e-12,"Mono/Mac 1","Gm49336"
"Acvrl1",1.04188240142853e-16,0.156501006044209,0.206,0.1,1.7456739635935e-12,"Mono/Mac 1","Acvrl1"
"Dmtf1",1.05200499201771e-16,-0.184446680290013,0.13,0.145,1.76263436412567e-12,"Mono/Mac 1","Dmtf1"
"Fam133b",1.06173116625227e-16,-0.196473132990139,0.228,0.207,1.77893056905568e-12,"Mono/Mac 1","Fam133b"
"Usp12",1.06989895034434e-16,-0.0772058233146456,0.242,0.195,1.79261569130194e-12,"Mono/Mac 1","Usp12"
"Spint2",1.08265201330144e-16,-0.291942218700873,0.004,0.069,1.81398344828657e-12,"Mono/Mac 1","Spint2"
"Itgb8",1.09022353657638e-16,0.0854458523897143,0.037,0.002,1.82666953553372e-12,"Mono/Mac 1","Itgb8"
"Zfp143",1.11606532884017e-16,0.0333201232805336,0.113,0.056,1.86996745847171e-12,"Mono/Mac 1","Zfp143"
"Clec2g",1.12510945850042e-16,0.0934924509086131,0.046,0.003,1.88512089771745e-12,"Mono/Mac 1","Clec2g"
"Il1rap",1.144083547197e-16,-0.224707756993535,0.083,0.08,1.91691198332858e-12,"Mono/Mac 1","Il1rap"
"AI506816",1.15803060969779e-16,-0.313910864056407,0.052,0.126,1.94028028654865e-12,"Mono/Mac 1","AI506816"
"Med12l",1.15931741318034e-16,-0.246872886688142,0.008,0.075,1.94243632578366e-12,"Mono/Mac 1","Med12l"
"Ggt5",1.17887290923296e-16,-0.286968741684805,0.016,0.088,1.97520155941983e-12,"Mono/Mac 1","Ggt5"
"Rexo1",1.18206903838144e-16,-0.0311774899796843,0.156,0.107,1.9805566738081e-12,"Mono/Mac 1","Rexo1"
"Proser1",1.20629230087224e-16,-0.122687020463148,0.085,0.08,2.02114275011144e-12,"Mono/Mac 1","Proser1"
"Gpr137",1.20785630483338e-16,0.0248035510161342,0.126,0.07,2.02376323874833e-12,"Mono/Mac 1","Gpr137"
"Birc5",1.20827915801915e-16,-0.426617567559858,0.008,0.066,2.02447172926109e-12,"Mono/Mac 1","Birc5"
"Lias",1.20950043076066e-16,-0.130927924998011,0.119,0.11,2.02651797173948e-12,"Mono/Mac 1","Lias"
"Rarg",1.22857796057707e-16,0.123423498121406,0.095,0.026,2.05848237294688e-12,"Mono/Mac 1","Rarg"
"Gm4070",1.23309453779414e-16,0.0372049949007506,0.152,0.084,2.06604989807408e-12,"Mono/Mac 1","Gm4070"
"Mid1ip1",1.24191116254886e-16,-0.24597507376034,0.126,0.152,2.08082215285062e-12,"Mono/Mac 1","Mid1ip1"
"Atg9a",1.24456073264913e-16,0.0291563675159621,0.091,0.04,2.08526150755362e-12,"Mono/Mac 1","Atg9a"
"Kidins220",1.26561950528696e-16,-0.16088958155181,0.113,0.107,2.12054548110831e-12,"Mono/Mac 1","Kidins220"
"Sash3",1.28474654034342e-16,-0.0649730283316767,0.235,0.177,2.15259282834541e-12,"Mono/Mac 1","Sash3"
"Blcap",1.29273822986477e-16,-0.101350062032691,0.094,0.07,2.16598290413843e-12,"Mono/Mac 1","Blcap"
"Ap1g2",1.32787908494006e-16,0.0355034665324382,0.088,0.039,2.22486140681706e-12,"Mono/Mac 1","Ap1g2"
"Rin3",1.3445638798479e-16,-0.202109818805699,0.193,0.176,2.25281678068516e-12,"Mono/Mac 1","Rin3"
"Tmem135",1.35738985237831e-16,-0.210433681591107,0.122,0.147,2.27430669765986e-12,"Mono/Mac 1","Tmem135"
"Ccnc",1.37281052979179e-16,-0.0395147386042086,0.113,0.075,2.30014404266615e-12,"Mono/Mac 1","Ccnc"
"2610203C22Rik",1.37733057573368e-16,-0.188420030031231,0.003,0.062,2.30771737964178e-12,"Mono/Mac 1","2610203C22Rik"
"Tmem273",1.3899899797735e-16,-0.0415654081141802,0.193,0.133,2.3289282111105e-12,"Mono/Mac 1","Tmem273"
"Erlin1",1.39267870972998e-16,0.0332816243222598,0.115,0.057,2.33343317815259e-12,"Mono/Mac 1","Erlin1"
"Pdha1",1.40882218294957e-16,-0.012557887732303,0.17,0.114,2.36048156753201e-12,"Mono/Mac 1","Pdha1"
"Cep83",1.41880654705095e-16,-0.0853632161543028,0.151,0.114,2.37721036958387e-12,"Mono/Mac 1","Cep83"
"Mettl6",1.41955638251749e-16,-0.0748074648999079,0.136,0.093,2.37846671890806e-12,"Mono/Mac 1","Mettl6"
"Id2",1.4391637122976e-16,-0.0982469979436407,0.417,0.311,2.41131879995463e-12,"Mono/Mac 1","Id2"
"Nt5c2",1.44595338321449e-16,-0.234046970707794,0.115,0.132,2.42269489357588e-12,"Mono/Mac 1","Nt5c2"
"Rbm28",1.4501188280683e-16,-0.0828863990315063,0.174,0.137,2.42967409642843e-12,"Mono/Mac 1","Rbm28"
"Chm",1.46944285424419e-16,-0.080933613773313,0.11,0.087,2.46205150228615e-12,"Mono/Mac 1","Chm"
"Cnp",1.46944429158819e-16,-0.152737470034489,0.19,0.163,2.46205391055601e-12,"Mono/Mac 1","Cnp"
"Mgat5",1.47736665450254e-16,-0.0902660353887051,0.149,0.117,2.475327829619e-12,"Mono/Mac 1","Mgat5"
"Angel2",1.50085422785058e-16,-0.266521948286617,0.149,0.168,2.51468125876365e-12,"Mono/Mac 1","Angel2"
"Tmem140",1.5036388189026e-16,-0.396205164560547,0.117,0.155,2.5193468410713e-12,"Mono/Mac 1","Tmem140"
"Dcxr",1.51442403630319e-16,-0.0385148846408732,0.197,0.147,2.53741747282599e-12,"Mono/Mac 1","Dcxr"
"Stap1",1.53194719315153e-16,-0.0401230887717205,0.14,0.084,2.56677752212538e-12,"Mono/Mac 1","Stap1"
"Zcchc2",1.5641917969875e-16,-0.00423765377794177,0.126,0.076,2.62080335585255e-12,"Mono/Mac 1","Zcchc2"
"Il2rb",1.59036914936821e-16,-0.43949084893728,0.005,0.064,2.66466350976644e-12,"Mono/Mac 1","Il2rb"
"Rnf214",1.59731737128797e-16,0.018403567155505,0.118,0.068,2.67630525559299e-12,"Mono/Mac 1","Rnf214"
"Rprd2",1.60470596892754e-16,-0.07917802508473,0.145,0.116,2.6886848509381e-12,"Mono/Mac 1","Rprd2"
"Smim26",1.60738264227353e-16,-0.168408480948237,0.153,0.153,2.69316961712929e-12,"Mono/Mac 1","Smim26"
"Gm7072",1.61265425404353e-16,-0.0308447658770147,0.099,0.064,2.70200220264994e-12,"Mono/Mac 1","Gm7072"
"Setd3",1.61779110304739e-16,-0.156676510016184,0.198,0.189,2.71060899315589e-12,"Mono/Mac 1","Setd3"
"Cyld",1.6179873964137e-16,-0.25078791830996,0.171,0.192,2.71093788269115e-12,"Mono/Mac 1","Cyld"
"Iffo1",1.622979885058e-16,-0.261604941483964,0.049,0.113,2.71930279741468e-12,"Mono/Mac 1","Iffo1"
"Mecp2",1.62378824508063e-16,-0.0808005593078403,0.151,0.128,2.7206572046326e-12,"Mono/Mac 1","Mecp2"
"Akap7",1.63362900364173e-16,0.0782777052728545,0.099,0.037,2.73714539560172e-12,"Mono/Mac 1","Akap7"
"Mbd6",1.63932330833992e-16,-0.0670733531350178,0.126,0.09,2.74668620312353e-12,"Mono/Mac 1","Mbd6"
"Zdhhc9",1.67483050512518e-16,0.0221450318231258,0.138,0.08,2.80617851133724e-12,"Mono/Mac 1","Zdhhc9"
"Creg2",1.68127047766994e-16,0.0683787685784476,0.062,0.013,2.81696868533599e-12,"Mono/Mac 1","Creg2"
"Gbp9",1.69615093259661e-16,0.165122078423455,0.122,0.043,2.84190088756563e-12,"Mono/Mac 1","Gbp9"
"Vrk2",1.71079554736043e-16,-0.0837611232986007,0.175,0.137,2.86643793960239e-12,"Mono/Mac 1","Vrk2"
"Nf1",1.75061494362886e-16,-0.0835445707577925,0.117,0.093,2.93315533805015e-12,"Mono/Mac 1","Nf1"
"Rpf1",1.75606043084086e-16,-0.0644574964006631,0.171,0.128,2.94227925187386e-12,"Mono/Mac 1","Rpf1"
"Ell",1.7676603002944e-16,-0.0625503675244189,0.091,0.06,2.96171483314327e-12,"Mono/Mac 1","Ell"
"Card9",1.7730921987311e-16,-0.0409542492436762,0.123,0.084,2.97081597897397e-12,"Mono/Mac 1","Card9"
"Ampd3",1.7842745926992e-16,-0.129446752850994,0.092,0.068,2.98955208006751e-12,"Mono/Mac 1","Ampd3"
"Fbxo38",1.78525531301944e-16,-0.0217940053680612,0.114,0.068,2.99119527696408e-12,"Mono/Mac 1","Fbxo38"
"Rufy1",1.78665287206619e-16,0.0766557176160717,0.147,0.072,2.99353688714691e-12,"Mono/Mac 1","Rufy1"
"Gabpa",1.85678965504261e-16,-0.0644573461862663,0.138,0.099,3.1110510670239e-12,"Mono/Mac 1","Gabpa"
"Ifit1bl1",1.87340235088024e-16,0.351532748092296,0.094,0.022,3.13888563889985e-12,"Mono/Mac 1","Ifit1bl1"
"Prpf6",1.88108799995423e-16,-0.111967652943457,0.148,0.125,3.15176294392331e-12,"Mono/Mac 1","Prpf6"
"Brwd3",1.89372763349687e-16,-0.0304103017160754,0.102,0.063,3.17294064992401e-12,"Mono/Mac 1","Brwd3"
"Chid1",1.90943946179857e-16,-0.0163573230593321,0.136,0.086,3.1992658182435e-12,"Mono/Mac 1","Chid1"
"Rpl11",1.93118885503382e-16,0.0502227121928795,0.991,0.919,3.23570692660917e-12,"Mono/Mac 1","Rpl11"
"Nrm",1.97382557894018e-16,-0.162012560400109,0.113,0.118,3.30714475751428e-12,"Mono/Mac 1","Nrm"
"Vps33a",1.98869786115335e-16,0.00570078255530868,0.133,0.081,3.33206326636244e-12,"Mono/Mac 1","Vps33a"
"Cdk1",1.99933741953566e-16,-0.267136705218758,0.001,0.057,3.34988984643201e-12,"Mono/Mac 1","Cdk1"
"Strn",2.08189385246539e-16,-0.0817183094360754,0.11,0.083,3.48821314980575e-12,"Mono/Mac 1","Strn"
"Acod1",2.08842489964313e-16,-0.25456268249322,0.204,0.138,3.49915591935206e-12,"Mono/Mac 1","Acod1"
"Cfl1",2.12891782587952e-16,0.0797102906714544,0.988,0.918,3.56700181726113e-12,"Mono/Mac 1","Cfl1"
"Extl3",2.14857889493168e-16,-0.0935512614479447,0.161,0.135,3.59994393845803e-12,"Mono/Mac 1","Extl3"
"4931406P16Rik",2.15266479555479e-16,-0.124650337621425,0.13,0.118,3.60678986495205e-12,"Mono/Mac 1","4931406P16Rik"
"Tmem131l",2.17905137556249e-16,-0.163333390455697,0.142,0.137,3.65100057975495e-12,"Mono/Mac 1","Tmem131l"
"Cops7a",2.19368433979936e-16,-0.101970808369364,0.126,0.114,3.67551811133382e-12,"Mono/Mac 1","Cops7a"
"Kif13b",2.24720553518405e-16,0.0158268941881004,0.144,0.081,3.76519287420088e-12,"Mono/Mac 1","Kif13b"
"Kmt2b",2.25380220126883e-16,-0.042964118053983,0.151,0.106,3.77624558822592e-12,"Mono/Mac 1","Kmt2b"
"Noc2l",2.289526271373e-16,-0.00768795125002258,0.153,0.099,3.83610126768546e-12,"Mono/Mac 1","Noc2l"
"2210016L21Rik",2.30611074416456e-16,-0.0124319250173809,0.166,0.111,3.86388855184772e-12,"Mono/Mac 1","2210016L21Rik"
"Dnajc4",2.33205977797728e-16,0.0388433432942999,0.179,0.107,3.90736615800094e-12,"Mono/Mac 1","Dnajc4"
"Bag3",2.33712998220027e-16,0.0892073313152577,0.091,0.028,3.91586128517655e-12,"Mono/Mac 1","Bag3"
"Gimap5",2.33918805594563e-16,-0.32373853373653,0.004,0.064,3.91930958773691e-12,"Mono/Mac 1","Gimap5"
"Tnfsf14",2.35693796485122e-16,-0.0454326152547077,0.066,0.037,3.94904956010822e-12,"Mono/Mac 1","Tnfsf14"
"Fbxl8",2.38701156551877e-16,0.00383235028778682,0.073,0.035,3.9994378780267e-12,"Mono/Mac 1","Fbxl8"
"Klhdc2",2.45048055502209e-16,-0.143232918709181,0.114,0.116,4.10578016993951e-12,"Mono/Mac 1","Klhdc2"
"Fam204a",2.48845828359635e-16,-0.1354561400731,0.18,0.158,4.16941185416569e-12,"Mono/Mac 1","Fam204a"
"Mrpl16",2.49096922686106e-16,-0.0466420302742457,0.167,0.128,4.17361893960571e-12,"Mono/Mac 1","Mrpl16"
"Pphln1",2.50111352622206e-16,-0.01875609337334,0.11,0.072,4.19061571318506e-12,"Mono/Mac 1","Pphln1"
"Cntrl",2.51085254272823e-16,-0.205687914763241,0.115,0.128,4.20693343534115e-12,"Mono/Mac 1","Cntrl"
"Dnajc30",2.59175549240563e-16,-0.0944761117958177,0.155,0.126,4.34248632752563e-12,"Mono/Mac 1","Dnajc30"
"Avl9",2.6580836887225e-16,-0.246103498248923,0.107,0.132,4.45361922045455e-12,"Mono/Mac 1","Avl9"
"Exosc7",2.66613245847921e-16,-0.197850541978757,0.103,0.128,4.46710493418192e-12,"Mono/Mac 1","Exosc7"
"Ccdc32",2.68123128660937e-16,-0.0326508736513311,0.129,0.087,4.492403020714e-12,"Mono/Mac 1","Ccdc32"
"Rabggtb",2.7083950863299e-16,-0.0389371197930407,0.149,0.105,4.53791596714575e-12,"Mono/Mac 1","Rabggtb"
