"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Micu1",0.164193176877113,-0.0100105356886934,0.106,0.133,1
"Cnnm2",0.682032484165941,-0.0100125450552645,0.006,0.01,1
"Gm10282",0.925980081647374,-0.0100158721989336,0.005,0.006,1
"Nfxl1",0.935120921913763,-0.0100177774364533,0.009,0.01,1
"Gm15448",0.735876375513714,-0.01001797487386,0.005,0.008,1
"Dnase1l3",0.406191362823026,-0.010021816141884,0.002,0.004,1
"S1pr4",0.406191362823031,-0.01002977974808,0.002,0.004,1
"2810021J22Rik",0.284938760766646,-0.0100508630069627,0,0.002,1
"Gm13470",0.389594220884192,-0.0100559192371213,0.002,0.006,1
"Ttc27",0.28493876076662,-0.0100710698594476,0,0.002,1
"Lcmt2",0.406191362823002,-0.0100760336950882,0.002,0.004,1
"Mib2",0.713233507334926,-0.0100826007989719,0.005,0.008,1
"Suclg2",0.406191362823029,-0.0100842482328474,0.002,0.004,1
"Map4",0.638428886544775,-0.0100959239749904,0.127,0.117,1
"Mast3",0.868905841598238,-0.0100959272319603,0.009,0.008,1
"Spata6",0.414950371397569,-0.0100992483871597,0.002,0.006,1
"Hnrnph2",0.868772624442997,-0.0101062495578297,0.301,0.31,1
"Med24",0.421685209477107,-0.010116903003875,0.002,0.006,1
"Snx32",0.909700424765876,-0.0101352879158086,0.006,0.008,1
"Zfp329",0.994603777491128,-0.0101436732984604,0.017,0.017,1
"1810030O07Rik",0.3713789241426,-0.0101437435497924,0.009,0.004,1
"Trrap",0.407075016656274,-0.0101510465236882,0.015,0.025,1
"Zkscan7",0.10003905342644,-0.0101538122276183,0,0.004,1
"Orc5",0.100039053426466,-0.0101679528990122,0,0.004,1
"Dlg1",0.980039928677606,-0.0101718358959239,0.04,0.042,1
"Trim46",0.10003905342644,-0.0101719601220437,0,0.004,1
"Scfd1",0.320418620100031,-0.0101917710656716,0.021,0.015,1
"Gpat4",0.897591580298796,-0.0101961884335946,0.005,0.004,1
"Napepld",0.834577618226606,-0.0101975943247138,0.002,0.002,1
"Dclre1b",0.465828861809491,-0.0101988156037309,0.005,0.01,1
"Magohb",0.922899857740561,-0.010213106629905,0.006,0.006,1
"Hcfc1",0.579417532740455,-0.010229642785879,0.005,0.002,1
"Slc25a47",0.100039053426441,-0.0102308279253653,0,0.004,1
"Gm12279",0.902760181311381,-0.0102318274187749,0.006,0.008,1
"Hdac4",0.749967654274802,-0.0102485786221422,0.034,0.04,1
"Esp6",0.284938760766569,-0.0102496597596474,0,0.002,1
"Fam50a",0.832983083689356,-0.0102510645805947,0.314,0.317,1
"2010001K21Rik",0.284938760766705,-0.0102741855733112,0,0.002,1
"Atp6v1c1",0.215429476052677,-0.0102861427375942,0.294,0.269,1
"Arid1a",0.509019188033074,-0.0102899491721411,0.094,0.112,1
"Farsa",0.834577618226871,-0.0103018561771236,0.002,0.002,1
"4833417C18Rik",0.715280085069099,-0.0103034622868372,0.003,0.006,1
"Slc25a51",0.434132317156345,-0.0103122468785383,0.074,0.062,1
"Ddx31",0.284938760766689,-0.0103129641746365,0,0.002,1
"Ap3s2",0.406191362823043,-0.0103154094014723,0.002,0.004,1
"Pik3c3",0.284938760766654,-0.0103165040225991,0,0.002,1
"Rab25",0.284938760766654,-0.0103165040225991,0,0.002,1
"Sgf29",0.284938760766654,-0.0103165040225991,0,0.002,1
"Zmpste24",0.887407879902643,-0.0103175784025422,0.008,0.01,1
"Serp1",0.663722592301571,-0.0103222654468275,0.202,0.219,1
"Nt5dc2",0.809946902938441,-0.010328222865037,0.012,0.01,1
"Dip2a",0.815156962601175,-0.0103296389697252,0.017,0.021,1
"Mtus2",0.284938760766651,-0.0103342397760244,0,0.002,1
"Tom1l2",0.284938760766651,-0.0103342397760244,0,0.002,1
"Prkcd",0.446640916810723,-0.0103407745419293,0.463,0.442,1
"Nrg2",0.284938760766652,-0.0103449105294567,0,0.002,1
"Gpr82",0.284938760766714,-0.0103449105294567,0,0.002,1
"Slc39a11",0.414956117799592,-0.0103665073345237,0.002,0.006,1
"Gm20219",0.40619136282298,-0.0103939739547544,0.002,0.004,1
"Zfp593",0.0916198282555012,-0.0103952452134758,0.023,0.013,1
"Aplp1",0.100039053426457,-0.0103989014079988,0,0.004,1
"Slc52a2",0.421896301153359,-0.0104080511999959,0.002,0.006,1
"4732414G09Rik",0.834577618227177,-0.0104251613110762,0.002,0.002,1
"Alkbh5",0.765900991497697,-0.0104251799444761,0.521,0.506,1
"Zfp362",0.284938760766642,-0.0104310764803399,0,0.002,1
"Ccn4",0.834577618227097,-0.0104434232149371,0.002,0.002,1
"Pdss2",0.284938760766689,-0.0104455772200834,0,0.002,1
"Cdca7",0.655050054821523,-0.0104701924778741,0.011,0.017,1
"Wdr45",0.52394570612629,-0.0104736748448327,0.017,0.025,1
"Nagk",0.916383924235066,-0.0104740819480322,0.052,0.054,1
"Cib2",0.984628437144212,-0.0104811123952596,0.038,0.04,1
"Prpf40a",0.88890352128635,-0.0104916350013929,0.156,0.167,1
"Tmem147",0.752280188033088,-0.0104918304905026,0.003,0.002,1
"Dhrs4",0.284938760766627,-0.0105039855986874,0,0.002,1
"Gm37963",0.406191362823082,-0.0105179866895199,0.002,0.004,1
"CAAA01118383.1",0.251323941620408,-0.0105207571234781,0.015,0.027,1
"Slc25a40",0.752280188032926,-0.0105228755839692,0.003,0.002,1
"Aldh8a1",0.284938760766689,-0.0105260574990526,0,0.002,1
"Dffa",0.284938760766689,-0.0105260574990526,0,0.002,1
"Bbs2",0.284938760766621,-0.010529745170534,0,0.002,1
"Bloc1s5",0.284938760766621,-0.010529745170534,0,0.002,1
"Hlf",0.284938760766621,-0.010529745170534,0,0.002,1
"Gm34481",0.28493876076669,-0.0105408237045087,0,0.002,1
"5330438D12Rik",0.947085988353601,-0.0105444131814752,0.009,0.01,1
"Smad6",0.100039053426435,-0.0105697186580026,0,0.004,1
"Trdmt1",0.101487555087309,-0.0105735912751615,0.021,0.01,1
"Gm13411",0.908098051452308,-0.0105768925627253,0.006,0.008,1
"Wwox",0.95976371710586,-0.0105811382248591,0.011,0.013,1
"Lig1",0.408519316482519,-0.0105878295686111,0.002,0.006,1
"Gm16675",0.419342137477372,-0.0105883449653333,0.002,0.006,1
"Platr22",0.284938760766659,-0.0106265399044779,0,0.002,1
"Kcnc3",0.100039053426435,-0.0106310823507824,0,0.004,1
"Tbc1d32",0.284938760766705,-0.0106378231636227,0,0.002,1
"A930005H10Rik",0.905884385235345,-0.0106474893208255,0.008,0.008,1
"Gopc",0.891360632757995,-0.0106614719588927,0.006,0.008,1
"Gm17108",0.284938760766638,-0.0106680293311277,0,0.002,1
"Ush1c",0.284938760766638,-0.0106680293311277,0,0.002,1
"1700022N22Rik",0.284938760766654,-0.0106680293311277,0,0.002,1
"Mdp1",0.284938760766654,-0.0106680293311277,0,0.002,1
"Lancl1",0.39123384375196,-0.010673338660132,0.002,0.006,1
"Kctd21",0.413057603802695,-0.0106766241123866,0.002,0.006,1
"D130020L05Rik",0.406191362823091,-0.0106817482315027,0.002,0.004,1
"Dcaf1",0.64474256877856,-0.0106817629943763,0.006,0.01,1
"1700113A16Rik",0.0586749277397587,-0.010682363272186,0.002,0.01,1
"Mrps15",0.996418815367732,-0.0106827463306885,0.012,0.013,1
"Zfand4",0.904721412164103,-0.0106952170879688,0.005,0.006,1
"Snrpa1",0.726323587854088,-0.0106952694693898,0.005,0.008,1
"Gm28512",0.938034726269233,-0.0106977814615269,0.003,0.004,1
"Gm16337",0.100039053426439,-0.010713293305286,0,0.004,1
"Tmem62",0.406191362822944,-0.0107167635607308,0.002,0.004,1
"Ms4a6d",0.936265599812469,-0.0107280545677539,0.003,0.004,1
"Gstcd",0.100039053426442,-0.010728289656767,0,0.004,1
"1110006O24Rik",0.706265218387893,-0.0107331454050416,0.003,0.006,1
"Mcub",0.451204699235441,-0.0107530332857113,0.012,0.021,1
"Rab40c",0.768319901237175,-0.0107602679254585,0.014,0.019,1
"Bbs5",0.28493876076664,-0.0107635391451492,0,0.002,1
"Iqgap3",0.407911483847659,-0.0107658444601982,0.009,0.004,1
"C130036L24Rik",0.284938760766663,-0.0107673951223602,0,0.002,1
"Gm16759",0.284938760766663,-0.0107673951223602,0,0.002,1
"Sil1",0.284938760766663,-0.0107673951223602,0,0.002,1
"Fpgs",0.948504109786132,-0.010769994713996,0.003,0.004,1
"Amt",0.83457761822717,-0.0107764029308381,0.002,0.002,1
"Slc20a2",0.847249288795122,-0.0107910279484547,0.011,0.015,1
"Ssrp1",0.764684025279222,-0.0107938276136551,0.018,0.017,1
"Zfp40",0.284938760766646,-0.0107983426858901,0,0.002,1
"E030018B13Rik",0.284938760766565,-0.0108061073935297,0,0.002,1
"Syne4",0.284938760766565,-0.0108061073935297,0,0.002,1
"1700055D18Rik",0.406191362823053,-0.0108304756543862,0.002,0.004,1
"Alg14",0.425561367722109,-0.0108381673848711,0.002,0.006,1
"9530062K07Rik",0.933400316720989,-0.0108467031901465,0.003,0.004,1
"Cluh",0.406191362823118,-0.0108504600791301,0.002,0.004,1
"Gm13936",0.284938760766656,-0.0108568514598552,0,0.002,1
"Mthfd1",0.284938760766656,-0.0108568514598552,0,0.002,1
"Pcnx4",0.284938760766656,-0.0108568514598552,0,0.002,1
"Zfp846",0.284938760766656,-0.0108568514598552,0,0.002,1
"Qars",0.222103353539753,-0.0108618156620796,0.02,0.01,1
"9330175E14Rik",0.900987927025526,-0.0108670560582776,0.006,0.008,1
"Gm31374",0.284938760766668,-0.010876495537317,0,0.002,1
"Kcnk4",0.284938760766703,-0.0108804328863621,0,0.002,1
"Gm28229",0.915172107598524,-0.0108854545789517,0.005,0.006,1
"Aacs",0.892913813615731,-0.0108866071178082,0.005,0.006,1
"Ap1s2",0.946701160257185,-0.0108945473540039,0.072,0.071,1
"Gm15952",0.284938760766657,-0.0109001624695649,0,0.002,1
"Ppl",0.284938760766657,-0.0109001624695649,0,0.002,1
"4732491K20Rik",0.834577618227622,-0.0109035211365989,0.002,0.002,1
"Zfp59",0.284938760766659,-0.0109120346018489,0,0.002,1
"Ppp1r16a",0.845303505467464,-0.010915721213279,0.009,0.008,1
"Taf7",0.840818461631088,-0.0109486101805759,0.107,0.106,1
"Olfr1393",0.284938760766728,-0.010955787901688,0,0.002,1
"Exoc4",0.771999441367182,-0.0109604254884379,0.009,0.008,1
"Ndufb5",0.752284200411866,-0.0109658193357929,0.031,0.027,1
"Tmem81",0.284938760766661,-0.0109717853124747,0,0.002,1
"Tmem241",0.406191362823101,-0.0109838104278765,0.002,0.004,1
"Dtd1",0.727257456410342,-0.010992533407561,0.003,0.006,1
"Gtpbp1",0.595096308699681,-0.011006148839996,0.021,0.029,1
"Rab33a",0.939757348576938,-0.011028971132541,0.043,0.046,1
"Prmt7",0.925418628025098,-0.0110353000326878,0.003,0.004,1
"Slc30a6",0.949784831030178,-0.0110576369764995,0.026,0.029,1
"Abca5",0.923230840530972,-0.0110711379338161,0.003,0.004,1
"Trim24",0.406191362823091,-0.0110763093352509,0.002,0.004,1
"Omg",0.284938760766629,-0.0110810019772492,0,0.002,1
"Ammecr1l",0.693318295532583,-0.0110824242633255,0.023,0.031,1
"Lig4",0.834577618226433,-0.0110931500706964,0.002,0.002,1
"Cul4b",0.885372360404545,-0.0110977647799163,0.014,0.017,1
"Slc41a1",0.480939027490055,-0.0111209169958417,0.003,0.008,1
"Susd3",0.483500312640936,-0.0111419401390769,0.04,0.033,1
"Sf3b4",0.638283247560657,-0.0111422980030422,0.064,0.073,1
"Pold2",0.284938760766644,-0.0111550291382681,0,0.002,1
"Usp11",0.284938760766644,-0.0111550291382681,0,0.002,1
"Net1",0.100039053426436,-0.0111759656189945,0,0.004,1
"Lsmem1",0.962673361792063,-0.0111919132044163,0.009,0.01,1
"Bco2",0.284938760766663,-0.0112007568674851,0,0.002,1
"Gm28981",0.843252289696985,-0.0112049569664783,0.011,0.015,1
"Tubb6",0.817378870001401,-0.0112291460878859,0.156,0.148,1
"Nedd4l",0.842924246279876,-0.0112294692820189,0.011,0.015,1
"Gnptg",0.971625393703105,-0.0112357818457011,0.005,0.004,1
"Mybbp1a",0.0616733301396817,-0.0112396973825756,0.002,0.01,1
"Gm16552",0.284938760766667,-0.011242654077758,0,0.002,1
"Pdss1",0.734363586520282,-0.0112436479377542,0.003,0.006,1
"Hs1bp3",0.450351589125982,-0.011246563121315,0.049,0.044,1
"Jund",0.293737367616254,-0.0112611359918446,0.695,0.656,1
"Prdx4",0.7334477439912,-0.0112674080533497,0.003,0.006,1
"Parp3",0.809188881074628,-0.0112816889822585,0.008,0.006,1
"Tlcd2",0.349923784629557,-0.0112832523587378,0.026,0.038,1
"Hsd17b10",0.243763003126106,-0.0112962630504323,0.011,0.021,1
"Klhl20",0.473335621264058,-0.0113042370551618,0.005,0.01,1
"AC241534.1",0.727550298323481,-0.0113066609509339,0.003,0.006,1
"Itgam",0.536122305556073,-0.0113093519532081,0.397,0.429,1
"Gm16157",0.284938760766629,-0.0113252617951398,0,0.002,1
"Sugct",0.730105845231108,-0.0113268244926312,0.003,0.006,1
"Hdac8",0.100039053426432,-0.0113269939408187,0,0.004,1
"Glra1",0.284938760766657,-0.0113359404055782,0,0.002,1
"Gm49980",0.284938760766657,-0.0113359404055782,0,0.002,1
"Atp6v1g3",0.284938760766623,-0.011340217490484,0,0.002,1
"1810019D21Rik",0.954564182937101,-0.0113506907586121,0.003,0.004,1
"Gm29336",0.100039053426455,-0.0113563937094594,0,0.004,1
"Atp2a1",0.406191362823132,-0.0113664869511399,0.002,0.004,1
"Spr",0.733391945390346,-0.011371099334423,0.003,0.006,1
"D030056L22Rik",0.921249667463124,-0.0113888239255554,0.017,0.019,1
"Actr1a",0.809649092576261,-0.0113987509747182,0.058,0.065,1
"Gm2245",0.787625521639068,-0.0114195996449726,0.015,0.021,1
"Pih1d1",0.699968982573207,-0.0114221012034355,0.029,0.025,1
"Snx21",0.972764018243828,-0.0114272706811516,0.021,0.023,1
"Tmem79",0.914474115634763,-0.0114381441223049,0.005,0.006,1
"Gm37768",0.423266782243027,-0.0114478427893382,0.002,0.006,1
"Gm15492",0.28493876076671,-0.011448203549296,0,0.002,1
"Alg13",0.790084236315952,-0.0114501320114316,0.008,0.006,1
"Usp10",0.100039053426435,-0.0114509687051265,0,0.004,1
"Zfp968",0.100039053426442,-0.0114630068954929,0,0.004,1
"Fbxw7",0.995680797209438,-0.0114822659099334,0.032,0.031,1
"Zfp553",0.874359318523867,-0.0114914587420611,0.006,0.006,1
"Cnr2",0.726452188532275,-0.0114917631627852,0.006,0.01,1
"1700088E04Rik",0.284938760766573,-0.0114919760178753,0,0.002,1
"Gm11496",0.284938760766573,-0.0114919760178753,0,0.002,1
"Rhobtb2",0.284938760766573,-0.0114919760178753,0,0.002,1
"Zfp438",0.284938760766573,-0.0114919760178753,0,0.002,1
"Gpld1",0.284938760766691,-0.0115051731061166,0,0.002,1
"1810062O18Rik",0.284938760766627,-0.0115139880170408,0,0.002,1
"Agpat1",0.81315008087691,-0.0115169165188653,0.012,0.01,1
"Mxd4",0.733554039113015,-0.0115272320592267,0.003,0.006,1
"Haus1",0.284938760766644,-0.0115316584235819,0,0.002,1
"Plekhs1",0.905873480453023,-0.0115341769697136,0.003,0.004,1
"Spin4",0.40619136282314,-0.011539471485632,0.002,0.004,1
"Tgs1",0.840109386724485,-0.0115404642264651,0.066,0.06,1
"C920021L13Rik",0.595491337596712,-0.0115426504386648,0.038,0.033,1
"Ppa1",0.102761663030034,-0.0115611617532101,0.003,0.013,1
"Zfp677",0.928518809098387,-0.0115635679952103,0.006,0.006,1
"Eef1akmt2",0.70421748252653,-0.0115766874282105,0.005,0.008,1
"Stmn1",0.406191362822971,-0.011589693744405,0.002,0.004,1
"Ints3",0.702741862988974,-0.0115908018452517,0.008,0.013,1
"Kcnk7",0.40619136282307,-0.0116009851149426,0.002,0.004,1
"Rnf103",0.300965767342151,-0.0116253027897329,0.025,0.038,1
"Gm43964",0.284938760766704,-0.0116343251785232,0,0.002,1
"Adhfe1",0.284938760766624,-0.0116388304357516,0,0.002,1
"Naa10",0.294713881794063,-0.0116575043652772,0.012,0.023,1
"Cdkn3",0.406191362822987,-0.0116604375748208,0.002,0.004,1
"Cib3",0.284938760766629,-0.0116614091619686,0,0.002,1
"Vps33b",0.581090904465781,-0.0117245889161068,0.011,0.006,1
"Msr1",0.100039053426437,-0.0117288852951498,0,0.004,1
"Mettl23",0.484929154834984,-0.0117350944047517,0.132,0.152,1
"Tlr5",0.100039053426439,-0.011752423649078,0,0.004,1
"Tanc1",0.866839612893894,-0.0117564385582635,0.009,0.013,1
"Dcun1d2",0.100039053426436,-0.0117710319638037,0,0.004,1
"1700019L13Rik",0.849359058115061,-0.0117730305026733,0.02,0.025,1
"Hdac3",0.440549300124736,-0.0117740887818891,0.032,0.044,1
"Rufy1",0.885385315648095,-0.0117753203762376,0.006,0.006,1
"Rpl36a",0.408686715414769,-0.0117785681785227,0.21,0.238,1
"Eif2b1",0.725816796435494,-0.0117909350643554,0.005,0.008,1
"Ahsa2",0.845018751138206,-0.0117933889764668,0.009,0.013,1
"Msantd3",0.406191362822995,-0.0117977792737503,0.002,0.004,1
"Cenpw",0.72964812995339,-0.0118048992971182,0.003,0.006,1
"Nubp2",0.823031451441073,-0.0118085672373096,0.035,0.035,1
"AU020206",0.406191362823024,-0.0118149059271915,0.002,0.004,1
"Sarnp",0.894008030784698,-0.011818378800566,0.015,0.013,1
"Gm17018",0.733752533592369,-0.0118252931483469,0.003,0.006,1
"Pak2",0.767420621088547,-0.0118374141551765,0.397,0.377,1
"Mterf1a",0.206293716030261,-0.0118398965185788,0.081,0.067,1
"4930592C13Rik",0.284938760766689,-0.0118405759750624,0,0.002,1
"Dis3l2",0.40619136282307,-0.0118440687683686,0.002,0.004,1
"Ripor3",0.100039053426459,-0.0118840773708759,0,0.004,1
"Gm43061",0.399315238448918,-0.011888402413628,0.006,0.013,1
