"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Gstk1",0.777300225215553,-0.0349410448621622,0,0.011,1
"Abcc10",0.838173439065074,-0.0349606081286467,0,0.008,1
"Arhgef6",0.985079866031491,-0.0349708523910754,0.2,0.191,1
"Nme3",0.777300225215389,-0.0349955319155854,0,0.011,1
"4930578M01Rik",0.777300225215582,-0.0350005495657247,0,0.011,1
"A430035B10Rik",0.777300225215514,-0.0350533876782391,0,0.011,1
"E430024P14Rik",0.838173439065081,-0.0350638186367474,0,0.008,1
"D930016D06Rik",0.777300225215534,-0.0351275852812834,0,0.011,1
"2310068J16Rik",0.838173439064992,-0.0351312720367816,0,0.008,1
"Plxnb2",0.777300225215563,-0.0351601140289018,0,0.011,1
"Man1a2",0.699754841477767,-0.0351707701237345,0.2,0.156,1
"Bcl2l15",0.777300225215563,-0.0351735835851656,0,0.011,1
"Rab11fip4",0.372759277777214,-0.0351843707703775,0.1,0.053,1
"Il4i1",0.838173439065115,-0.0352047385882482,0,0.008,1
"Ssx2ip",0.777300225215351,-0.0352049585404047,0,0.011,1
"Babam2",0.677479914292287,-0.035205186429233,0.2,0.153,1
"Mocs1",0.777300225215466,-0.0352474994959249,0,0.011,1
"Tarbp1",0.838173439064952,-0.0352511581608007,0,0.008,1
"Rpgrip1l",0.838173439064884,-0.0352574267956924,0,0.008,1
"Pef1",0.952549123415393,-0.0352617572865154,0.1,0.092,1
"Ift172",0.777300225215572,-0.0352991579685433,0,0.011,1
"Amigo2",0.838173439065101,-0.0353266236580946,0,0.008,1
"Dynlt1c",0.724270952572822,-0.0353459884151681,0,0.015,1
"Tmem205",0.777300225215485,-0.0353944913518458,0,0.011,1
"Camk2b",0.777300225215543,-0.0354253282515107,0,0.011,1
"Slc12a2",0.777300225215485,-0.0354295692186847,0,0.011,1
"Bloc1s6os",0.724270952572747,-0.0354443324291539,0,0.015,1
"Efcab7",0.777300225215485,-0.0354556630154462,0,0.011,1
"Bco2",0.838173439064945,-0.035467853106165,0,0.008,1
"Rapgef3",0.838173439065033,-0.035469456206759,0,0.008,1
"Erf",0.777300225215514,-0.035486814673588,0,0.011,1
"Pard3",0.838173439064945,-0.0355047240880555,0,0.008,1
"Mtx1",0.905995154920182,-0.0355122658191012,0.1,0.126,1
"Tarsl2",0.777300225215418,-0.035550308154754,0,0.011,1
"2900041M22Rik",0.724270952572702,-0.0355507600363938,0,0.015,1
"4930532G15Rik",0.72427095257277,-0.0355978822453847,0,0.015,1
"Fastkd3",0.777300225215428,-0.0356312104753908,0,0.011,1
"Slc52a3",0.724270952572785,-0.035673149035106,0,0.015,1
"Cd300lf",0.777300225215543,-0.0356800813810648,0,0.011,1
"Cip2a",0.838173439065094,-0.0357410659794841,0,0.008,1
"Chic1",0.838173439064958,-0.0357566017430329,0,0.008,1
"Ttc30a1",0.777300225215514,-0.0357574588354636,0,0.011,1
"4933407K13Rik",0.777300225215447,-0.0357621752312973,0,0.011,1
